ai_index,ai_title,ai_abstract,ai_conference,ai_domain,ai_model,match_found,human_index,human_title,human_abstract,human_venue,human_overall_score,human_accepted,similarity_score,ai_processed_text,human_processed_text,generated_at
0,"*""Disentangling Latent Causal Mechanisms for Robust Representation Learning""*","Modern representation learning often relies on correlations in data, which can lead to brittle models sensitive to distribution shifts. We propose a framework for learning representations that disentangle latent causal mechanisms, enabling models to generalize more robustly across environments. Our approach combines variational autoencoders with causal inference techniques, explicitly modeling latent variables as causal factors. We introduce a novel objective that encourages independence between mechanisms while preserving their predictive utility. Theoretical analysis shows our method recovers true causal factors under identifiable conditions. Empirical results on synthetic and real-world datasets demonstrate significant improvements in out-of-distribution generalization (up to 30% higher accuracy) compared to existing disentanglement methods. The learned representations exhibit interpretable structure aligned with ground-truth generative factors. This work bridges causal inference and representation learning, offering a principled path toward more reliable machine learning systems.   ---",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,6476,Turning Challenges into Opportunities: How Distribution Shifts Enhance Identifiability in Causal Representation Learning,"Causal representation learning seeks to uncover latent causal variables and their relationships from observed, unstructured data, a task complicated by identifiability challenges. While distribution shifts, viewed as natural interventions on latent causal variables, often present difficulties in traditional machine learning tasks, they also create valuable opportunities for identifiability by introducing variability in latent variables. In this paper, we study a non-parametric condition characterizing the types of distribution shifts that contribute to identifiability within the context of latent additive noise models. We also present partial identifiability results when only a portion of distribution shifts meets the condition. Furthermore, we extend our findings to latent post-nonlinear causal models. Building on our theoretical results, we propose a practical algorithm facilitating the acquisition of reliable latent causal representations. Our algorithm, guided by our underlying theory, has demonstrated outstanding performance across a diverse range of synthetic and real-world datasets. The empirical observations closely align with the theoretical findings, affirming the robustness and effectiveness of our proposed approach.",ICLR.cc/2025/Conference,5.25,False,0.8820,modern representation learning often relies correlations data which can lead brittle models sensitive distribution shifts for learning representations that disentangle latent causal mechanisms enabling models generalize more robustly across environments this bridges causal inference and representation learning offering principled path toward more reliable machine learning systems,causal representation learning seeks uncover latent causal variables and their relationships from observed unstructured data task complicated identifiability challenges while distribution shifts viewed natural interventions latent causal variables often difficulties traditional machine learning tasks they also create valuable opportunities for identifiability introducing variability latent variables the empirical observations closely align the theoretical affirming the robustness and effectiveness our proposed,2025-08-26T00:59:30.191605
1,"*""Multi-View Contrastive Learning with Equivariant Representations""*","Contrastive learning has shown promise in self-supervised representation learning, but it often struggles with multi-view data where transformations are not purely geometric. We present a novel framework for multi-view contrastive learning that leverages group-equivariant architectures to capture intrinsic symmetries in data. Our method enforces equivariance constraints during contrastive training, ensuring representations transform predictably under view changes. Key contributions include a symmetry-aware data augmentation strategy and a provably invariant loss function. Experiments on 3D molecular datasets and multi-camera systems show our approach outperforms standard contrastive baselines by 15-25% in downstream tasks, particularly when test distributions exhibit unseen viewpoints. Theoretical guarantees ensure our learned embeddings are provably stable to group actions, addressing a critical limitation of existing methods. This work advances the understanding of geometric priors in self-supervised learning.   ---",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,10471,What to align in multimodal contrastive learning?,"Humans perceive the world through multisensory integration, blending the information of different modalities to adapt their behavior.
Contrastive learning offers an appealing solution for multimodal self-supervised learning. Indeed, by considering each modality as a different view of the same entity, it learns to align features of different modalities in a shared representation space. However, this approach is intrinsically limited as it only learns shared or redundant information between modalities, while multimodal interactions can arise in other ways. In this work, we introduce CoMM, a Contrastive Multimodal learning strategy that enables the communication between modalities in a single multimodal space. Instead of imposing cross- or intra- modality constraints, we propose to align multimodal representations by maximizing the mutual information between augmented versions of these multimodal features. Our theoretical analysis shows that shared, synergistic and unique terms of information naturally emerge from this formulation, allowing us to estimate multimodal interactions beyond redundancy. We test CoMM both in a controlled and in a series of real-world settings: in the former, we demonstrate that CoMM effectively captures redundant, unique and synergistic information between modalities. In the latter, CoMM learns complex multimodal interactions and achieves state-of-the-art results on seven multimodal tasks.",ICLR.cc/2025/Conference,6.25,True,0.8484,contrastive learning has shown promise self supervised representation learning but often struggles multi view data where transformations are not purely geometric for multi view contrastive learning that leverages group equivariant architectures capture intrinsic symmetries data this advances the understanding geometric priors self supervised learning,contrastive learning offers appealing solution for multimodal self supervised learning indeed considering each modality different view the same entity learns align features different modalities shared representation space this comm contrastive multimodal learning strategy that enables the communication between modalities single multimodal space,2025-08-26T00:59:30.191633
2,"*""Sparse Neural Coding for Compositional Representation Learning""*","Human cognition excels at composing new concepts from sparse primitives, yet most neural networks use dense, entangled representations. We propose a sparse neural coding framework that learns discrete, compositional representations through a biologically motivated competitive activation mechanism. Our model employs a gated sparsity objective combined with an information-theoretic diversity term, encouraging units to activate sparsely while covering the data manifold. Results on image and text data show our method achieves 8-12% better compositional generalization than dense baselines while reducing computational costs by 30%. Learned representations exhibit interpretable ""concept neurons"" that fire selectively for semantic features. We prove our objective induces a combinatorial code that grows sublinearly with task complexity, unlike conventional networks. This work provides a neural architecture closer to human-like compositional reasoning.   ---",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,6347,GeoCon: Compositional Generalization Through Geometric Constraints on Representation Structure,"Compositional generalization, referring to the capacity to generalize novel combinations of fundamental and essential concepts, is thought to be the mechanism underlying a human’s remarkable ability of rapid generalization to new knowledge and tasks. Recent research on brain neural activation space has found that the geometric structure of neural representations is highly related to human compositional generalization capability.
In this paper, we extend the above observations from neuroscience to deep neural networks to validate the potential relationship between the geometric structure of representations and compositional generalization capability. In particular, we first construct a new compositional generalization benchmark from the existent datasets, which aims to discriminate multiple concepts simultaneously through a powerful representation. Meanwhile, for the aforementioned geometric constraint, the parallelism score is formally defined for deep neural networks.
Subsequently, we decompose the deep neural network into two parts: the featurizer and the classifier, to investigate the relationship between compositional generalization capability and parallelism score separately. Our proposed method, Geometric Constraint (GeoCon), involves distance variance minimization on the classifier and parallelism score maximization on the featurizer.
Experiments on synthetic and real-world datasets demonstrate significant improvement of our approach, verifying the effectiveness of our neuroscience-inspired GeoCon approach towards human-like superior generalization ability.",ICLR.cc/2025/Conference,6.333333333333333,nan,0.8576,human cognition excels composing concepts from sparse primitives yet most neural networks use dense entangled representations sparse neural coding that learns discrete compositional representations biologically motivated competitive activation mechanism learned representations exhibit interpretable concept neurons that fire selectively for semantic features this provides neural closer human like compositional reasoning,compositional generalization referring the capacity generalize combinations fundamental and essential concepts thought the mechanism underlying human remarkable ability rapid generalization knowledge and tasks recent brain neural activation space has found that the geometric structure neural representations highly related human compositional generalization capability this extend the above observations from neuroscience deep neural networks the potential relationship between the geometric structure representations and compositional generalization capability particular first construct compositional generalization from the existent datasets which aims discriminate multiple concepts simultaneously powerful representation meanwhile for the aforementioned geometric constraint the parallelism formally defined for deep neural networks subsequently decompose the deep neural network into two parts the featurizer and the classifier the relationship between compositional generalization capability and parallelism separately,2025-08-26T00:59:30.191654
3,"*""Hyperbolic Prototype Networks for Few-Shot Hierarchical Learning""*","Few-shot learning remains challenging when data exhibits hierarchical structure, as standard Euclidean embeddings fail to capture taxonomies. We introduce hyperbolic prototype networks, where prototypes live in hyperbolic space to naturally represent hierarchical relationships. Our framework includes a novel curvature-adaptive projection layer and a Riemannian metric learning objective. Key insights are that hyperbolic distances between prototypes mirror tree-like taxonomies and that curvature can adapt to dataset properties. Experiments on biological sequences and language tasks demonstrate 20-35% improvements in few-shot accuracy compared to Euclidean counterparts, with particularly strong gains on deep hierarchies. Theoretical analysis reveals our method's superior sample efficiency for hierarchical data. This work unifies geometric deep learning with few-shot paradigms, opening new directions for representation learning in structured domains.   ---",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,3887,Geometry-aware Distance Measure for Diverse Hierarchical Structures in Hyperbolic Spaces,"Learning in hyperbolic spaces has gained increasing attention due to the superior capability of modeling hierarchical structures. Existing hyperbolic learning methods use a fixed distance measure that assumes a uniform hierarchical structure across all data points. However, this assumption does not always hold in real-world scenarios, considering the diversity of the hierarchical structures of data. This work proposes to learn geometry aware distance measures that dynamically adjust to accommodate diverse hierarchical structures in hyperbolic spaces. We derive geometry aware distance measures by generating projections and curvatures for each pair of samples, which maps each pair to a suitable hyperbolic space. We introduce a revised low-rank decomposition scheme and a hard-pair mining mechanism to reduce the computational cost incurred by the pairwise generation without compromising accuracy. Moreover, we derive an upper bound of the low-rank approximation error via Talagrand concentration inequality to guarantee the effectiveness of our low-rank decomposition scheme. Theoretical analysis and experiments on standard image classification and few-shot learning tasks affirm the effectiveness of our method in refining hyperbolic learning through our geometry aware distance measures.",ICLR.cc/2025/Conference,4.75,nan,0.8389,few shot learning remains challenging when data exhibits hierarchical structure standard euclidean embeddings fail capture taxonomies our includes curvature adaptive projection layer and riemannian learning objective experiments biological sequences and language tasks improvements few shot compared euclidean counterparts strong gains deep hierarchies this unifies geometric deep learning few shot paradigms opening directions for representation learning structured domains,learning hyperbolic spaces has gained increasing attention due the superior capability modeling hierarchical structures existing hyperbolic learning methods use fixed distance measure that assumes uniform hierarchical structure across all data points revised low rank decomposition scheme and hard pair mining mechanism reduce the computational cost incurred the pairwise generation compromising theoretical analysis and experiments standard image classification and few shot learning tasks affirm the effectiveness our refining hyperbolic learning our geometry aware distance measures,2025-08-26T00:59:30.191664
4,"*""Flow-Based Representation Learning with Exact Likelihoods""*","Normalizing flows offer exact likelihood computation but struggle with high-dimensional representation learning due to invertibility constraints. We present a novel flow architecture that combines the expressiveness of arbitrary neural networks with exact density estimation. Our key innovation is a stochastic bridging mechanism that allows partial invertibility while preserving the flow's mathematical guarantees. The model achieves state-of-the-art log-likelihoods on image datasets while learning semantically meaningful latent codes. Compared to VAEs and GANs, our method provides 40% better anomaly detection performance due to precise density modeling. Theoretical contributions include conditions under which our stochastic flows remain tractable and a new interpretation of the manifold learning tradeoff. This work enables flow models to compete in representation learning while retaining their probabilistic rigor.   ---",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,5314,Normalizing Flow Based Evaluation Metrics for Image Generation,"We propose two new evaluation metrics to assess realness of generated images based on normalizing flows: a simpler and efficient flow-based likelihood distance (FLD) and a more exact dual-flow based likelihood distance (D-FLD). Because normalizing flows can be used to compute the exact likelihood, the proposed metrics assess how closely generated images align with the distribution of real images from a given domain. This property gives the proposed metrics a few advantages over the widely used Fréchet inception distance (FID) and other recent metrics. Firstly, the proposed metrics need only a few hundred images to stabilize (converge in mean), as opposed to tens of thousands needed for FID, and at least a few thousand for the other metrics. This allows confident evaluation of even small sets of generated images, such as validation batches inside training loops. Secondly, the network used to compute the proposed metric has over an order of magnitude fewer parameters compared to Inception-V3 used to compute FID, making it computationally more efficient. For assessing the realness of generated images in new domains (e.g., x-ray images), ideally these networks should be retrained on real images to model their distinct distributions. Thus, our smaller network will be even more advantageous for new domains. Extensive experiments show that the proposed metrics have the desired monotonic relationships with the extent of image degradation of various kinds.",ICLR.cc/2025/Conference,3.75,False,0.8496,normalizing flows offer exact likelihood computation but struggle high dimensional representation learning due invertibility constraints flow that combines the expressiveness arbitrary neural networks exact density estimation the achieves state the art log likelihoods image datasets while learning semantically meaningful latent codes compared vaes and gans our provides better anomaly detection due precise density modeling theoretical contributions include conditions under which our stochastic flows remain tractable and interpretation the manifold learning tradeoff this enables flow models compete representation learning while retaining their probabilistic rigor,because normalizing flows can used compute the exact likelihood the proposed metrics assess how closely generated images align the distribution real images from given domain secondly the network used compute the proposed has over order magnitude fewer parameters compared inception used compute fid making computationally more efficient thus our smaller network will even more advantageous for domains,2025-08-26T00:59:30.191672
5,"*""Temporal Discrepancy Learning for Video Representation""*","Video representation learning typically relies on hand-designed pretext tasks like frame ordering, which may not capture meaningful temporal structure. We propose temporal discrepancy learning (TDL), a self-supervised approach that discovers salient temporal variations automatically. TDL employs a siamese architecture with a novel discrepancy prediction head that learns to anticipate feature changes over time. Crucially, our objective encourages the model to ignore irrelevant variations while focusing on semantically meaningful temporal dynamics. Experiments across 6 video benchmarks show TDL outperforms previous methods by 5-10% in action recognition and video retrieval. The learned representations exhibit strong compositionality across timescales, from short-term actions to long-term events. This work provides a principled framework for temporal representation learning without predefined pretext tasks.   ---",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,888,Grounding is All You Need? Dual Temporal Grounding for Video Dialog,"In the realm of video dialog response generation, the understanding of video content and the temporal nuances of conversation history are paramount. While a segment of current research leans heavily on large-scale pretrained visual-language models and often overlooks temporal dynamics, another delves deep into spatial-temporal relationships within videos but demands intricate object trajectory pre-extractions and sidelines dialog temporal dynamics. 
This paper introduces the Dual Temporal Grounding-enhanced Video Dialog model (DTGVD), strategically designed to merge the strengths of both dominant approaches.
It emphasizes dual temporal relationships by predicting dialog turn-specific temporal regions, filtering video content accordingly, and grounding responses in both video and dialog contexts. 
One standout feature of DTGVD is its heightened attention to chronological interplay. By recognizing and acting upon the dependencies between different dialog turns, it captures more nuanced conversational dynamics. 
To further bolster the alignment between video and dialog temporal dynamics, we've implemented a list-wise contrastive learning strategy. Within this framework, accurately grounded turn-clip pairings are designated as positive samples, while less precise pairings are categorized as negative. This refined classification is then funneled into our holistic end-to-end response generation mechanism. Evaluations using AVSD@DSTC-7 and AVSD@DSTC-8 datasets underscore the superiority of our methodology.",ICLR.cc/2025/Conference,4.0,nan,0.8378,video representation learning relies hand designed pretext tasks like frame ordering which may not capture meaningful temporal structure temporal discrepancy learning tdl self supervised that discovers salient temporal variations automatically tdl employs siamese discrepancy prediction head that learns anticipate feature changes over time experiments across video benchmarks tdl outperforms previous methods action recognition and video retrieval this provides principled for temporal representation learning predefined pretext tasks,while segment current leans heavily large scale pretrained visual language models and often overlooks temporal dynamics another delves deep into spatial temporal relationships within videos but demands intricate object trajectory pre extractions and sidelines dialog temporal dynamics one standout feature dtgvd its heightened attention chronological interplay further bolster the alignment between video and dialog temporal dynamics implemented list wise contrastive learning strategy this refined classification then funneled into our holistic end end response generation mechanism,2025-08-26T00:59:30.191680
6,"*""Representation Learning via Differentiable Topological Invariants""*","Topological properties of data manifolds—such as connected components or holes—often contain essential structural information overlooked by current methods. We introduce a differentiable topological invariant (DTI) module that can be integrated into neural networks to learn topology-aware representations. Our approach computes persistent homology through a differentiable approximation of simplex operations, enabling end-to-end training. Theoretical results establish conditions under which DTIs provide invariant information. Empirical studies on graphs and medical images demonstrate that models with DTIs discover clinically relevant structural features missed by conventional networks, achieving 17% higher accuracy in classification tasks with limited data. This work pioneers the integration of algebraic topology tools into deep learning, preserving structural information that is crucial for scientific domains.   ---",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,642,Topological Blindspots: Understanding and Extending Topological Deep Learning Through the Lens of Expressivity,"Topological deep learning (TDL) is a rapidly growing field that seeks to leverage topological structure in data and facilitate learning from data supported on topological objects, ranging from molecules to 3D shapes. Most TDL architectures can be unified under the framework of higher-order message-passing (HOMP), which generalizes graph message-passing to higher-order domains. In the first part of the paper, we explore HOMP's expressive power from a topological perspective, demonstrating the framework's inability to capture fundamental topological and metric invariants such as diameter, orientability, planarity, and homology. In addition, we demonstrate HOMP's limitations in fully leveraging lifting and pooling methods on graphs. To the best of our knowledge, this is the first work to study the expressivity of TDL from a topological perspective. In the second part of the paper, we develop two new classes of architectures -- multi-cellular networks (MCN) and scalable MCN (SMCN) -- which draw inspiration from expressive GNNs. MCN can reach full expressivity, but scaling it to large data objects can be computationally expansive. Designed as a more scalable alternative, SMCN still mitigates many of HOMP's expressivity limitations. Finally, we design new benchmarks for evaluating models based on their ability to learn topological properties of complexes. We then evaluate SMCN on these benchmarks as well as on real-world graph datasets, demonstrating improvements over both HOMP baselines and expressive graph methods, highlighting the value of expressively leveraging topological information.",ICLR.cc/2025/Conference,8.0,True,0.8510,differentiable topological invariant dti module that can integrated into neural networks learn topology aware representations empirical studies graphs and medical images that models dtis discover clinically relevant structural features missed conventional networks achieving higher classification tasks limited data this pioneers the integration algebraic topology tools into deep learning preserving structural information that crucial for scientific domains,topological deep learning tdl rapidly growing field that seeks leverage topological structure data and facilitate learning from data supported topological objects ranging from molecules shapes,2025-08-26T00:59:30.191687
7,"*""Contrastive Learning with Adversarial Robust Representations""*","Contrastive learning produces representations that capture semantic information but may remain vulnerable to adversarial perturbations. We develop a framework for learning representations that are both semantically meaningful and adversarially robust through a novel min-max contrastive objective. Our method alternates between maximizing contrastive loss for adversarial examples and minimizing loss for clean samples, yielding representations with certified robustness guarantees. Experiments on CIFAR-10 and ImageNet show our approach matches standard contrastive methods on clean data while providing 4× robustness improvement against ℓ∞ attacks. Theoretically, we prove bounds relating representation space geometry to robustness. This work establishes that self-supervised learning need not sacrifice robustness for semantic quality, with implications for security-critical applications.   ---   Each paper addresses distinct technical challenges in representation learning while meeting ICLR's rigor requirements, spanning theoretical innovations, novel architectures, and practical applications. The diversity ranges from geometric methods (hyperbolic, topological) to robustness (adversarial, causal) and novel learning paradigms (sparse, temporal).",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,4573,Cluster-Driven Adversarial Perturbations for Robust Contrastive Learning,"Adversarial contrastive learning aims to learn a representation space robust to adversarial inputs using only unlabeled data. Existing methods typically generate adversarial perturbations by maximizing the contrastive loss during adversarial training. However, we find that the effectiveness of this approach is influenced by the composition of positive and negative examples in a minibatch, which is not explicitly controllable. To address this limitation, we propose a novel approach to adversarial contrastive learning, where adversarial perturbations are generated based on the clustering structure of the representation space learned through contrastive learning. Our method is motivated by the observation that contrastive learning produces a well-separated representation space, where similar data points cluster together in space, while dissimilar ones are positioned farther apart. We hypothesize that perturbations directed toward neighboring (the second nearest to be specific) clusters are likely to cross the decision boundary of a downstream classifier built upon contrastive learning, effectively acting as adversarial examples. A key challenge in our approach is to determine a sufficiently large number of clusters, for which the number of classes in the downstream task would serve the purpose but is typically unknown during adversarial contrastive learning. Therefore, we employ the silhouette score to identify the optimal number of clusters, ensuring high-quality clustering in the representation space. Compared to the existing approaches, our method achieved up to $2.25$\% and $5.05$\% improvements in robust accuracy against PGD and Auto-Attack, respectively, showing slight improvement in standard accuracy as well in most cases.",ICLR.cc/2025/Conference,5.5,False,0.8762,contrastive learning produces representations that capture semantic information but may remain vulnerable adversarial perturbations for learning representations that are both semantically meaningful and adversarially robust min max contrastive objective our alternates between maximizing contrastive loss for adversarial examples and minimizing loss for clean samples yielding representations certified robustness guarantees experiments cifar and imagenet our matches standard contrastive methods clean data while providing robustness improvement against attacks theoretically bounds relating representation space geometry robustness this establishes that self supervised learning need not sacrifice robustness for semantic quality implications for security critical applications each addresses distinct technical challenges representation learning while meeting iclr rigor requirements spanning theoretical innovations architectures and practical applications the diversity ranges from geometric methods hyperbolic topological robustness adversarial causal and learning paradigms sparse temporal,adversarial contrastive learning aims learn representation space robust adversarial inputs only unlabeled data address this limitation adversarial contrastive learning where adversarial perturbations are generated the clustering structure the representation space learned contrastive learning our motivated the observation that contrastive learning produces well separated representation space where similar data points cluster together space while dissimilar ones are positioned farther apart key challenge our determine sufficiently large number clusters for which the number classes the downstream task would serve the purpose but unknown during adversarial contrastive learning therefore employ the silhouette identify the optimal number clusters ensuring high quality clustering the representation space,2025-08-26T00:59:30.191703
8,"*""Learned Equivariant Representations for Symmetry-Aware Generalization""*","Modern neural networks often fail to leverage inherent symmetries in data, leading to poor generalization under transformations. We present a framework for learning representations that explicitly encode symmetry structure through a novel combination of group-equivariant architectures and meta-learning. Our approach introduces symmetry-aware inductive biases during training while maintaining flexibility to learn unknown symmetries from data. The key innovation is a disentangled representation space where equivariant transformations are explicitly modeled as separate sub-manifolds. Theoretical analysis shows our method provides tighter generalization bounds under group transformations. Empirical evaluation on 3D molecular data and cosmological simulations demonstrates 20-35% improvement in generalization to unseen symmetries compared to standard equivariant networks. Notably, our model discovers physically meaningful symmetry groups in cosmology without supervision. This work bridges symmetry principles with data-driven representation learning, offering a principled approach for structured generalization.",ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,6839,Symmetric Space Learning for Combinatorial Generalization,"Symmetries on representations within generative models have shown essential roles in predicting unobserved combinations of semantic changes, known as combinatorial generalization tasks. However, these efforts have primarily focused on learning symmetries from only training data, and thus, the extension of trained symmetries to unseen samples remains uncontrolled. A potential approach for generalizing the symmetries is leveraging geometric information on manifolds that contain functional semantic structures for unseen data, but it still falls short of supporting symmetry learning. In this paper, we address this $\textit{symmetry generalization}$ by forcing $\textit{symmetric space}$ on latent space for utilizing semantic structures from symmetry and manifold perspectives. We clarify an equivariance-based constraint that restricts symmetry generalization, and prove that: 1) enforcing the homogeneous space property of symmetric space onto the data manifold eliminates this constraint, 2) a homogeneous latent manifold induces the data manifold through diffeomorphic data-to-latent mapping, and 3) the isometry property of symmetric space extends neighbor symmetries of a point to another within the space. For practical implementation, we propose a method to align sampled points from symmetric space with their explicitly trained geodesic. We verify the method in a detailed analysis on a toy dataset and enhance combinatorial generalization on common benchmarks. This work represents the first effective effort to align symmetries with manifolds for combinatorial generalization.",ICLR.cc/2025/Conference,4.75,False,0.8847,modern neural networks often fail leverage inherent symmetries data leading poor generalization under transformations for learning representations that explicitly encode symmetry structure combination group equivariant architectures and meta learning the key innovation disentangled representation space where equivariant transformations are explicitly modeled separate sub manifolds this bridges symmetry principles data driven representation learning offering principled for structured generalization,symmetries representations within generative models have shown essential roles predicting unobserved combinations semantic changes known combinatorial generalization tasks however these efforts have primarily focused learning symmetries from only training data and thus the extension trained symmetries unseen samples remains uncontrolled potential for generalizing the symmetries leveraging geometric information manifolds that contain functional semantic structures for unseen data but still falls short supporting symmetry learning this address this textit symmetry generalization forcing textit symmetric space latent space for utilizing semantic structures from symmetry and manifold perspectives,2025-08-26T00:59:30.191711
9,"*""Self-Supervised Representation Learning with Dynamic Concept Formation""*",Current self-supervised methods learn fixed representations that struggle with evolving concepts over time. We propose a dynamic representation learning framework where embeddings continuously adapt through self-organizing concept formation. Our approach combines contrastive learning with a novel dynamic memory module that incrementally clusters and refines concepts as new data arrives. The memory structure maintains plasticity-stability balance through a theoretically-grounded forgetting mechanism. Experiments on continual learning benchmarks show 15-20% higher accuracy in adapting to concept drift compared to static representations. Visualization reveals our model automatically discovers hierarchical concept relationships that evolve with new data. This work provides foundations for lifelong representation learning systems that adapt like biological intelligence.,ICLR,representation learning,deepseek-ai/DeepSeek-V3-0324,True,9753,Dynamic Alignment of Representations for Enhanced Chain-of-Thought Reasoning in Large Language Models,"Representations encode rich semantic information, implying that editing them could serve as a effective tool (i.e., DAS, REFT) for parameter-efficient finetuning (PEFT). However, existing approaches typically focus on general categories of representations or selecting an appropriate number of continuous representations for each datasets, which limits their adaptability and performance. In contrast, our method dynamically selects representations requiring intervention at the instance level, referred to as misaligned representations, which are characterized by a lack of semantic information or appropriate attention. Identifying these misaligned representations poses challenging, as they serve different roles in varying contexts. It is evident that crucial representations, which are those that primarily receive information flow from themselves or significantly influence other representations, are likely to encompass misaligned representations. Consequently, we simplify the task by pivot our focus to crucial representations and aim to accurately locate them. We adaptively update crucial representation amidst uncertainty, freezing the base model while learning an updated direction for each layer. Involving both identification and updating of representations, we present a PEFT method, termed Dynamic Alignment of Representations (DAR). We validate the effectiveness of our method on eight diverse datasets across two scenarios, arithmetic and commonsense, and three base models: LLaMA-2-7B, LLaMA-2-13B, and LLaMA-3-8B. Notably, our method yields improvements of 17.47% and 3.11% over LLaMA-2-7B and ReFT on the GSM8K dataset, respectively. Additionally, it requires only 51 times fewer parameters than LoRA, demonstrating significant parameter efficiency. Furthermore, our method can be easily extended to few-shot learning.",ICLR.cc/2025/Conference,4.0,nan,0.8428,dynamic representation learning where embeddings continuously adapt self organizing concept formation our combines contrastive learning dynamic memory module that incrementally clusters and refines concepts data arrives experiments continual learning benchmarks higher adapting concept drift compared static representations this provides foundations for lifelong representation learning systems that adapt like biological intelligence,representations encode rich semantic information implying that editing them could serve effective tool contrast our dynamically selects representations requiring intervention the instance level referred misaligned representations which are characterized lack semantic information appropriate attention adaptively update crucial representation amidst uncertainty freezing the base while learning updated direction for each layer furthermore our can easily extended few shot learning,2025-08-26T00:59:30.191718
