ai_index,ai_title,ai_abstract,ai_conference,ai_domain,ai_model,match_found,human_index,human_title,human_abstract,human_venue,human_overall_score,human_accepted,similarity_score,ai_processed_text,human_processed_text,generated_at
0,Causal-Invariant Representation Learning for Out-of-Distribution Generalization,"Deep learning models often struggle with out-of-distribution (OOD) generalization, as they tend to learn spurious correlations present in training data rather than true causal features. This limitation makes them brittle in real-world deployments where environmental shifts are common. We propose a novel framework for learning causal-invariant representations that are robust to OOD shifts. Our approach leverages a disentanglement objective that separates causal factors from environment-specific spurious ones, enforced by a meta-learning strategy that simulates distribution shifts during training. By explicitly encouraging the representation to remain invariant across diverse simulated environments, the model learns features that generalize better. We empirically demonstrate significant improvements on challenging OOD benchmarks across vision and healthcare datasets, outperforming state-of-the-art methods. This work offers a principled way to build more reliable and trustworthy AI systems by grounding representation learning in causal principles, paving the way for safer and more robust deployments.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,11217,Robust Domain Generalisation with Causal Invariant Bayesian Neural Networks,"Deep neural networks can obtain impressive performance on various tasks under the assumption that their training domain is identical to their target domain. Performance can drop dramatically when this assumption does not hold. One explanation for this discrepancy is the presence of spurious domain-specific correlations in the training data that the network exploits. Causal mechanisms, in the other hand, can be made invariant under distribution changes as they allow disentangling the factors of distribution underlying the data generation. Yet, learning causal mechanisms to improve out-of-distribution generalisation remains an under-explored area. We propose a Bayesian neural architecture that disentangles the learning of the the data distribution from the inference process mechanisms. We show theoretically and experimentally that our model approximates reasoning under causal interventions. We demonstrate the performance of our method, outperforming point estimate-counterparts, on out-of-distribution image recognition tasks where the data distribution acts as strong adversarial confounders.",ICLR.cc/2025/Conference,4.0,False,0.8671,deep learning models often struggle out distribution ood generalization they tend learn spurious correlations training data rather than true causal features for learning causal invariant representations that are robust ood shifts explicitly encouraging the representation remain invariant across diverse simulated environments the learns features that generalize better empirically significant improvements challenging ood benchmarks across vision and healthcare datasets outperforming state the art methods this offers principled way build more reliable and trustworthy systems grounding representation learning causal principles paving the way for safer and more robust deployments,deep neural networks can obtain impressive various tasks under the assumption that their training domain identical their target domain one explanation for this discrepancy the presence spurious domain specific correlations the training data that the network exploits causal mechanisms the other hand can made invariant under distribution changes they allow disentangling the factors distribution underlying the data generation yet learning causal mechanisms improve out distribution generalisation remains under explored area bayesian neural that disentangles the learning the the data distribution from the inference process mechanisms theoretically and experimentally that our approximates reasoning under causal interventions the our outperforming point estimate counterparts out distribution image recognition tasks where the data distribution acts strong adversarial confounders,2025-08-26T02:23:21.430536
1,Structural Gradient Flow: A Unified Framework for Neural Network Sparsification and Pruning,"The increasing size of deep neural networks poses significant challenges for deployment on resource-constrained devices, motivating research into efficient model sparsification. Current pruning methods often rely on post-training heuristic criteria or complex training pipelines. We introduce Structural Gradient Flow (SGF), a novel, unified framework that integrates structural sparsification directly into the optimization process via a continuous gradient-based approach. SGF defines a ""pruning potential"" landscape that guides network weights towards structural sparsity patterns (e.g., filter, channel, or block pruning) during standard training, without requiring iterative fine-tuning or specialized hardware. Our method derives from a theoretical understanding of how structural importance evolves during learning. Experiments across various architectures (ResNets, Transformers) and datasets (ImageNet, CIFAR-100) demonstrate that SGF achieves state-of-the-art sparsity-accuracy trade-offs, yielding highly compressed models with minimal performance degradation, often surpassing dedicated pruning techniques. This work provides a flexible and theoretically grounded approach for building efficient deep learning models.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,4690,The Case for Gradual Structured Pruning in Image-based Deep Reinforcement Learning,"Scaling neural networks in image-based deep reinforcement learning often fails to improve performance. While it was shown that unstructured pruning of scaled networks can unlock performance gains, we find that refining the architecture of the scaled network yields even greater improvements. However, scaled networks in deep reinforcement learning present a practical challenge: the increased computational demands can hinder deployment on embedded devices, as commonly encountered in robotics applications. To address this, we propose a novel gradual group-structured pruning framework that allows performance gains through scaling while maintaining computational efficiency. Our method preserves the network's functional integrity of inter-layer dependencies in groups, such as residual connections, while seamlessly integrating with standard deep reinforcement learning algorithms. Experiments with PPO and DQN show that our approach sustains performance while significantly reducing inference time, making it the preferred approach for resource-limited deployment.",ICLR.cc/2025/Conference,4.666666666666667,False,0.8383,the increasing size deep neural networks poses significant challenges for deployment resource constrained devices motivating into efficient sparsification structural gradient flow sgf unified that integrates structural sparsification directly into the optimization process continuous gradient based sgf defines pruning potential landscape that guides network weights towards structural sparsity patterns our derives from theoretical understanding how structural importance evolves during learning this provides flexible and theoretically grounded for building efficient deep learning models,scaling neural networks image based deep reinforcement learning often fails improve while was shown that unstructured pruning scaled networks can unlock gains find that refining the the scaled network yields even greater improvements however scaled networks deep reinforcement learning practical challenge the increased computational demands can hinder deployment embedded devices encountered robotics applications our preserves the network functional integrity inter layer dependencies groups such residual connections while seamlessly integrating standard deep reinforcement learning algorithms,2025-08-26T02:23:21.430570
2,Coherent Multimodal Fusion via Cross-Generative Self-Supervision,"Learning effective representations from multiple modalities (e.g., vision and language) is crucial for many real-world AI applications, but often requires large amounts of paired data and suffers from representation misalignment. Existing self-supervised methods often rely on contrastive learning, which can struggle with high-dimensional cross-modal relationships. We propose Cross-Generative Self-Supervision (CGSS), a novel approach that learns coherent multimodal representations by enforcing cross-modal generative consistency without explicit contrastive pairs. CGSS trains a shared latent space by encouraging each modality's encoder to generate the *other* modality's input, conditioned on the shared latent representation. This generative objective implicitly aligns features and captures richer inter-modal dependencies. Our method outperforms traditional contrastive learning and other generative baselines on challenging multimodal tasks such as retrieval, captioning, and cross-modal generation, especially in low-resource settings. CGSS offers a powerful and flexible paradigm for learning rich, aligned multimodal representations, opening new avenues for understanding and generating multimodal data.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,10471,What to align in multimodal contrastive learning?,"Humans perceive the world through multisensory integration, blending the information of different modalities to adapt their behavior.
Contrastive learning offers an appealing solution for multimodal self-supervised learning. Indeed, by considering each modality as a different view of the same entity, it learns to align features of different modalities in a shared representation space. However, this approach is intrinsically limited as it only learns shared or redundant information between modalities, while multimodal interactions can arise in other ways. In this work, we introduce CoMM, a Contrastive Multimodal learning strategy that enables the communication between modalities in a single multimodal space. Instead of imposing cross- or intra- modality constraints, we propose to align multimodal representations by maximizing the mutual information between augmented versions of these multimodal features. Our theoretical analysis shows that shared, synergistic and unique terms of information naturally emerge from this formulation, allowing us to estimate multimodal interactions beyond redundancy. We test CoMM both in a controlled and in a series of real-world settings: in the former, we demonstrate that CoMM effectively captures redundant, unique and synergistic information between modalities. In the latter, CoMM learns complex multimodal interactions and achieves state-of-the-art results on seven multimodal tasks.",ICLR.cc/2025/Conference,6.25,True,0.8566,learning effective representations from multiple modalities vision and language crucial for many real world applications but often requires large amounts paired data and suffers from representation misalignment cgss trains shared latent space encouraging each modality encoder generate the other modality input conditioned the shared latent representation our outperforms traditional contrastive learning and other generative baselines challenging multimodal tasks such retrieval captioning and cross modal generation low resource settings cgss offers powerful and flexible paradigm for learning rich aligned multimodal representations opening avenues for understanding and generating multimodal data,contrastive learning offers appealing solution for multimodal self supervised learning indeed considering each modality different view the same entity learns align features different modalities shared representation space this comm contrastive multimodal learning strategy that enables the communication between modalities single multimodal space,2025-08-26T02:23:21.430595
3,Disentangled Latent Diffusion for Controllable and Compositional Image Generation,"Diffusion models have achieved remarkable success in high-fidelity image synthesis, yet fine-grained, compositional control over generated content remains a significant challenge. Existing control mechanisms often rely on conditional inputs or require extensive text prompting, limiting intuitive manipulation. We propose Disentangled Latent Diffusion (DLD), a novel framework that learns a disentangled latent space *within* the diffusion process, enabling precise and independent control over distinct image attributes. Our approach incorporates a VAE-like structure into the diffusion latent space, coupled with a supervision mechanism that encourages specific latent dimensions to correlate with predefined semantic concepts (e.g., object identity, background, style). This allows users to manipulate individual semantic attributes by editing specific latent dimensions during the reverse diffusion process, leading to compositional generation. DLD demonstrates superior disentanglement and precise control on diverse datasets, enabling intuitive scene editing, attribute manipulation, and object recombination, pushing the boundaries of controllable image synthesis.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,1929,Semantic-Aware Diffusion Model for Sequential Recommendation,"Sequential recommendation aims to predict the next click for a particular user based on their historical interacted item sequences. Recently, diffusion-based methods have achieved the state-of-the-art performance in sequential recommendation. However, they fail to effectively utilize the rich semantic information embedded in items during the diffusion process to accurately guide the generation, leading to sub-optimal results. To address this limitation, we designed SDRec, a **S**emantic-aware **D**iffusion model for sequential **Rec**ommendation. Our model introduces a novel architecture, the Semantic Fusion Layer, which leverages the embedding table from the encoder to incorporate item semantics into the diffusion process through an attention mechanism. Together with the well-designed contrastive and generative losses, SDRec effectively utilizes the item semantics in diffusion model, unleashing the potential of sequential recommendation. Our experiments show that SDRec has over 10% relative gain with superior efficiency compared with existing methods.",ICLR.cc/2025/Conference,3.6666666666666665,nan,0.8114,our incorporates vae like structure into the diffusion latent space coupled supervision mechanism that encourages specific latent dimensions correlate predefined semantic concepts this allows users manipulate individual semantic attributes editing specific latent dimensions during the reverse diffusion process leading compositional generation,however they fail utilize the rich semantic information embedded items during the diffusion process accurately guide the generation leading sub optimal our introduces the semantic fusion layer which leverages the embedding table from the encoder incorporate item semantics into the diffusion process attention mechanism,2025-08-26T02:23:21.430612
4,Adaptive Message Passing for Dynamic Graph Neural Networks,"Graph Neural Networks (GNNs) have excelled in static graph analysis, but their application to dynamic graphs, where nodes and edges evolve over time, remains challenging. Existing dynamic GNNs often rely on recurrent architectures that struggle with long-term dependencies, or process snapshots independently, ignoring temporal coherence. We introduce Adaptive Message Passing (AMP), a novel GNN framework designed for dynamic graphs. AMP employs an attention-driven mechanism that adaptively weights messages from historical graph states and current neighbors based on their temporal relevance and structural proximity. This allows the model to capture both short-term dynamics and long-range temporal dependencies without explicit recurrence. Our approach incorporates a trainable memory module that selectively stores and retrieves relevant past information. Experiments on real-world dynamic graph datasets (e.g., social networks, traffic prediction) show AMP significantly outperforms state-of-the-art dynamic GNNs in tasks like link prediction and node classification, demonstrating its ability to learn robust representations from evolving graph structures.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,10,Monophilic Neighbourhood Transformers,"Graph neural networks (GNNs) have seen widespread application across diverse fields, including social network analysis, chemical research, and computer vision.
Nevertheless, their efficacy is compromised by an inherent reliance on the homophily assumption, which posits that adjacent nodes should exhibit relevance or similarity.
This assumption becomes a limitation when dealing with heterophilic graphs, where it is more common for dissimilar nodes to be connected.
Addressing this challenge, recent research indicates that real-world graphs generally exhibit monophily, a characteristic where a node tends to be related to the neighbours of its neighbours.
Inspired by this insight, we introduce Neighbourhood Transformers (NT), a novel approach that employs self-attention within every neighbourhood of the graph to generate informative messages for the nodes within, as opposed to the central node in conventional GNN frameworks.
We develop a neighbourhood partitioning strategy equipped with switchable attentions, significantly reducing space consumption by over 95\% and time consumption by up to 92.67\% in NT.
Experimental results on node classification tasks across 5 heterophilic and 5 homophilic graphs demonstrate that NT outperforms current state-of-the-art methods, showcasing their expressiveness and adaptability to different graph types.
The code for this study is available at https://anonymous.4open.science/r/MoNT-BD3C .",ICLR.cc/2025/Conference,6.0,False,0.9196,graph neural networks gnns have excelled static graph analysis but their application dynamic graphs where nodes and edges evolve over time remains challenging social networks traffic prediction amp outperforms state the art dynamic gnns tasks like link prediction and node classification demonstrating its ability learn robust representations from evolving graph structures,graph neural networks gnns have seen widespread application across diverse fields including social network analysis chemical and computer vision experimental node classification tasks across heterophilic and homophilic graphs that outperforms current state the art methods showcasing their expressiveness and adaptability different graph types,2025-08-26T02:23:21.430619
5,Counterfactual Generative Data Augmentation for Offline Reinforcement Learning,"Offline Reinforcement Learning (RL) promises to learn effective policies from pre-collected datasets without costly online interaction, but its performance is severely limited by distribution shift and coverage issues in the static data. We propose Counterfactual Generative Data Augmentation (CGDA), a novel method to enrich offline datasets by synthesizing high-quality, relevant transitions. CGDA employs a conditional generative model trained to predict counterfactual outcomes: what would have happened if a different action had been taken in a given state. This model is carefully regularized to stay close to the observed data distribution while enabling diverse exploration of plausible alternative trajectories. By augmenting the original dataset with these counterfactual transitions, CGDA significantly expands coverage and mitigates conservatism. Our empirical results on various D4RL benchmarks demonstrate that CGDA consistently improves the performance of leading offline RL algorithms (e.g., CQL, IQL) across diverse tasks, enabling more robust policy learning from limited offline data.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,10154,Model-Free Offline Reinforcement Learning with Enhanced Robustness,"Offline reinforcement learning (RL) has gained considerable attention for its ability to learn policies from pre-collected data without real-time interaction, which makes it particularly useful for high-risk applications. However, due to its reliance on offline datasets, existing works inevitably introduce assumptions to ensure effective learning, which, however, often lead to a trade-off between robustness to model mismatch and scalability to large environments. In this paper, we enhance both aspects with a novel double-pessimism principle, which conservatively estimates performance and accounts for both limited data and potential model mismatches, two major reasons for the previous trade-off. We then propose a universal, model-free algorithm to learn a policy that is robust to potential environment mismatches, which enhances robustness in a scalable manner. Furthermore, we provide a sample complexity analysis of our algorithm when the mismatch is modeled by the $l_\alpha$-norm, which also theoretically demonstrates the efficiency of our method. Extensive experiments further demonstrate that our approach significantly improves robustness in a more scalable manner than existing methods.",ICLR.cc/2025/Conference,6.4,True,0.9008,offline reinforcement learning promises learn effective policies from pre collected datasets costly online interaction but its severely limited distribution shift and coverage issues the static data cql iql across diverse tasks enabling more robust policy learning from limited offline data,offline reinforcement learning has gained considerable attention for its ability learn policies from pre collected data real time interaction which makes useful for high risk applications however due its reliance offline datasets existing works inevitably assumptions ensure effective learning which however often lead trade off between robustness mismatch and scalability large environments then universal model free learn policy that robust potential environment mismatches which enhances robustness scalable manner extensive experiments further that our improves robustness more scalable manner than existing methods,2025-08-26T02:23:21.430630
6,Bayesian Meta-Learning for Robust Continual Adaptation with Catastrophic Forgetting Mitigation,"Continual learning, where models sequentially learn new tasks without forgetting old ones, is a critical challenge for real-world AI, often hampered by catastrophic forgetting and poor adaptation to new tasks. While meta-learning offers promise for rapid adaptation, integrating it effectively with continual learning to maintain performance across tasks remains an open problem. We propose Bayesian Meta-Learning for Continual Adaptation (BMCA), a novel framework that combines the strengths of meta-learning with the robustness of Bayesian uncertainty quantification. BMCA learns a meta-prior distribution over model parameters that captures commonalities across tasks. When adapting to a new task, a Bayesian inference step efficiently updates the model's posterior, allowing for rapid learning while retaining knowledge of previous tasks through a carefully designed regularization term derived from the meta-prior. Our method significantly reduces catastrophic forgetting and improves adaptation speed on sequential task learning benchmarks (e.g., Omniglot, MiniImageNet, Split CIFAR-100), demonstrating a more robust and flexible approach to lifelong learning.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,1240,LUNCH: Adaptive Balancing of Continual Learning via Hyperparameter Uncertainty,"Continual learning (CL) is characterized by learning sequentially arriving tasks and behaving as if they were observed simultaneously. In order to prevent catastrophic forgetting of old tasks when learning new tasks, representative CL methods usually employ additional loss terms to balance their contributions (e.g., regularization and replay), modulated by deterministic hyperparameters. However, this strategy struggles to accommodate real-time changes in data distributions and is also lack of robustness to subsequent unseen tasks, especially in online scenarios where CL is performed with a one-pass data stream. Inspired by adaptive weighting in multi-task learning, we propose an innovative approach named Learning UNCertain Hyperparameters (LUNCH) for adaptive balancing of task contributions in CL. Specifically, we formulate each CL-relevant hyperparameter as a function of optimizable uncertainty under homoscedastic assumption and ensure its training stability through the exponential moving average of network parameters. We further devise an evaluation protocol that moderately adjusts the hyperparameter values and reports their impact on performance, so as to analyze the sensitivity of these sub-optimal values in realistic applications. We perform extensive experiments to demonstrate the effectiveness and robustness of our approach, which significantly improves online CL in a plug-in manner (e.g., up to 11.26% and 5.64% on Split CIFAR-100 and Split Mini-ImageNet, respectively) as well as offline CL.",ICLR.cc/2025/Conference,3.5,nan,0.8861,continual learning where models sequentially learn tasks forgetting old ones critical challenge for real world often hampered catastrophic forgetting and poor adaptation tasks while meta learning offers promise for rapid adaptation integrating continual learning maintain across tasks remains open problem bayesian meta learning for continual adaptation bmca that combines the strengths meta learning the robustness bayesian uncertainty quantification when adapting task bayesian inference step updates the model posterior allowing for rapid learning while retaining knowledge previous tasks carefully designed regularization term derived from the meta prior our reduces catastrophic forgetting and improves adaptation speed sequential task learning benchmarks omniglot miniimagenet split cifar demonstrating more robust and flexible lifelong learning,continual learning characterized learning sequentially arriving tasks and behaving they were observed simultaneously order prevent catastrophic forgetting old tasks when learning tasks representative methods usually employ additional loss terms balance their contributions however this strategy struggles accommodate real time changes data distributions and also lack robustness subsequent unseen tasks online scenarios where performed one pass data stream inspired adaptive weighting multi task learning innovative named learning uncertain hyperparameters lunch for adaptive balancing task contributions formulate each relevant hyperparameter function optimizable uncertainty under homoscedastic assumption and ensure its training stability the exponential moving average network parameters perform extensive experiments the effectiveness and robustness our which improves online plug manner,2025-08-26T02:23:21.430639
7,Concept-Centric Explanations: Hierarchical Disentanglement for Post-Hoc Model Interpretability,"Understanding the reasoning behind complex deep learning models is essential for trust and deployment, but current interpretability methods often provide low-level pixel or feature attributions rather than human-understandable concepts. We propose Concept-Centric Explanations (CCE), a novel post-hoc interpretability framework that extracts and organizes high-level, hierarchical concepts learned by a black-box model. CCE employs a weakly supervised disentanglement approach applied to intermediate model representations, identifying semantically meaningful concept latent vectors without requiring explicit concept labels during training. These concepts are then structured into a hierarchy based on their activation patterns and co-occurrence. We demonstrate that CCE can generate intuitive, compositional explanations for model predictions, e.g., ""The model classified as 'zebra' because it detected 'striped pattern' and 'horse-like body' without detecting 'mane'."" Experiments on image classification tasks show CCE provides more human-aligned and faithful explanations compared to traditional saliency maps and concept-bottleneck models, facilitating deeper model understanding and debugging.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,992,CBM-zero: Concept Bottleneck Model With Zero Performance Loss,"Interpreting machine learning models with high-level, human-understandable \emph{concepts} has gained increasing interest. The concept bottleneck model (CBM) is a popular approach to providing interpretable models, relying on first predicting the presence of concepts in a given input, and then using these concept scores to predict a label of interest. Yet, CBMs suffer from lower accuracy compared with standard black-box models, as they use a surrogate (and thus, interpretable) predictor in lieu of the original model. In this work, we propose an approach that allows us to find a CBM in any standard black-box model via an invertible mapping from its latent space to an interpretable concept space. This method preserves the original black-box model's prediction and thus has zero performance drop while providing human-understandable explanations. We evaluate the accuracy and interpretability of our method across various benchmarks, demonstrating state-of-the-art explainability metrics while enjoying superior accuracy.",ICLR.cc/2025/Conference,3.0,nan,0.8512,understanding the reasoning behind complex deep learning models essential for trust and deployment but current interpretability methods often provide low level pixel feature attributions rather than human understandable concepts concept centric explanations cce post hoc interpretability that extracts and organizes high level hierarchical concepts learned black box cce employs weakly supervised disentanglement applied intermediate representations identifying semantically meaningful concept latent vectors requiring explicit concept labels during training experiments image classification tasks cce provides more human aligned and faithful explanations compared traditional saliency maps and concept bottleneck models facilitating deeper understanding and debugging,interpreting machine learning models high level human understandable emph concepts has gained increasing interest this preserves the original black box model prediction and thus has zero drop while providing human understandable explanations the and interpretability our across various benchmarks demonstrating state the art explainability metrics while enjoying superior,2025-08-26T02:23:21.430654
8,PAC-Bayesian Bounds for Sparse Neural Networks with L1/L0 Regularization,"The generalization capabilities of over-parameterized deep neural networks, particularly sparse ones, are not fully understood. While sparsity is crucial for efficiency, its theoretical implications for generalization often remain unexplored within tight bounds. We derive novel PAC-Bayesian generalization bounds specifically tailored for neural networks trained with L1 and L0 regularization, which induce sparsity. Our bounds explicitly account for the sparsity level of the network by incorporating a prior distribution over sparse architectures. Unlike traditional bounds that scale with the total number of parameters, our bounds tighten significantly with increasing sparsity, providing theoretical justification for why sparse models can generalize well even with very few active parameters. We demonstrate that these bounds are empirically tighter than existing PAC-Bayesian bounds for dense networks when applied to sparse models on various datasets (e.g., CIFAR-10, MNIST). This work provides a crucial theoretical step towards understanding and guaranteeing the performance of efficient, sparse deep learning models.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,9679,Generalizability of Neural Networks Minimizing Empirical Risk Based on Expressive Power,"The primary objective of learning methods is generalization. Classic generalization bounds, based on VC-dimension or Rademacher complexity, are uniformly applicable to all networks in the hypothesis space. On the other hand, algorithm-dependent generalization bounds, like stability bounds, address more practical scenarios and provide generalization conditions for neural networks trained using SGD. However, these bounds often rely on strict assumptions, such as the NTK hypothesis or convexity of the empirical loss, which are typically not met by neural networks. In order to establish generalizability under less stringent assumptions, this paper investigates generalizability of neural networks that minimize the empirical risk. A lower bound for population accuracy is established based on the expressiveness of these networks, which indicates that with adequately large training sample and network sizes, these networks can generalize effectively. Additionally, we provide a lower bound necessary for generalization, demonstrating that, for certain data distributions, the quantity of data required to ensure generalization exceeds the network size needed to represent that distribution. Finally, we provide theoretical insights into several phenomena in deep learning, including robust overfitting, importance of over-parameterization networks, and effects of loss functions.",ICLR.cc/2025/Conference,6.6,True,0.8360,the generalization capabilities over parameterized deep neural networks sparse ones are not fully understood derive pac bayesian generalization bounds tailored for neural networks trained and regularization which induce sparsity our bounds explicitly account for the sparsity level the network incorporating prior distribution over sparse architectures this provides crucial theoretical step towards understanding and guaranteeing the efficient sparse deep learning models,the primary objective learning methods generalization the other hand algorithm dependent generalization bounds like stability bounds address more practical scenarios and provide generalization conditions for neural networks trained sgd however these bounds often rely strict assumptions such the ntk hypothesis convexity the empirical loss which are not met neural networks order establish generalizability under less stringent assumptions this investigates generalizability neural networks that minimize the empirical risk lower bound for population established the expressiveness these networks which indicates that adequately large training sample and network sizes these networks can generalize additionally provide lower bound necessary for generalization demonstrating that for certain data distributions the quantity data required ensure generalization exceeds the network size needed represent that distribution finally provide theoretical insights into several phenomena deep learning including robust overfitting importance over parameterization networks and effects loss functions,2025-08-26T02:23:21.430663
9,Adaptive Client-Specific Model Fusion in Heterogeneous Federated Learning,"Federated Learning (FL) enables collaborative model training across decentralized devices while preserving data privacy. However, performance often degrades significantly in heterogeneous (non-IID) data settings, where a single global model struggles to generalize across diverse client data distributions. We propose Adaptive Client-Specific Model Fusion (ACSMF), a novel FL paradigm that personalizes model aggregation while maintaining communication efficiency. Instead of a single global model, ACSMF learns a set of latent client prototypes and a client-specific weighted average over these prototypes. During aggregation, each client contributes to updating these prototypes and learns an adaptive fusion weight vector based on its local data distribution. This allows for personalized models that are better tailored to individual client needs while benefiting from collaborative learning. Experiments on various non-IID datasets (e.g., Federated EMNIST, CIFAR-100) demonstrate that ACSMF significantly outperforms traditional FedAvg and recent personalization techniques, achieving higher accuracy on diverse client test sets while maintaining privacy.",ICLR,deep learning,gemini-2.5-flash-preview-05-20,True,7080,FedMAP: Unlocking Potential in Personalized Federated Learning through Bi-Level MAP Optimization,"Federated Learning (FL) enables collaborative training of machine learning (ML) models on decentralized data while preserving data privacy. However, data across clients often differs significantly due to class imbalance, feature distribution skew, sample size imbalance, and other phenomena.
Using information from these not identically distributed (non-IID) datasets causes challenges in training. Existing FL methods based on a single global model cannot effectively capture client data variations, resulting in suboptimal performance. Personalized FL (PFL) techniques were introduced to adapt to the local data distribution of each client and utilize the data from other clients. 
They have shown promising results in addressing these challenges. 
We propose FedMAP, a novel Bayesian PFL framework which applies Maximum A Posteriori (MAP) estimation to effectively mitigate various non-IID data issues, by means of a parametric prior distribution, which is updated during aggregation. We provide a theoretical foundation illustrating FedMAP's convergence properties. In particular, we prove that the prior updates in FedMAP correspond to gradient descent iterations for a linear combination of envelope functions associated with the local losses. This differs from previous FL approaches, that aim at minimizing a weighted average of local loss functions and often face challenges with heterogeneous data distributions, resulting in reduced client performance and slower convergence in non-IID settings. 
Finally, we show, through evaluations of synthetic and real-world datasets, that FedMAP achieves better performance than the existing methods. Moreover, we offer a robust, ready-to-use framework to facilitate practical deployment and further research.",ICLR.cc/2025/Conference,5.0,False,0.9466,federated learning enables collaborative training across decentralized devices while preserving data privacy this allows for personalized models that are better tailored individual client needs while benefiting from collaborative learning,federated learning enables collaborative training machine learning models decentralized data while preserving data privacy however data across clients often differs due class imbalance feature distribution skew sample size imbalance and other phenomena,2025-08-26T02:23:21.430674
