ai_index,ai_title,ai_abstract,ai_conference,ai_domain,ai_model,match_found,human_index,human_title,human_abstract,human_venue,human_overall_score,human_accepted,similarity_score,ai_processed_text,human_processed_text,generated_at
0,Hyper-Riemannian Optimization: Learning Intrinsic Gradient Geometries for Faster Convergence,"Standard deep learning optimizers like Adam operate under a fixed, often Euclidean, geometric assumption, which is misaligned with the complex, curved loss landscapes of neural networks. This mismatch can slow convergence and lead to suboptimal solutions. We introduce Hyper-Riemannian Optimization (HRO), a novel method that dynamically learns the local geometry of the loss surface. HRO employs a small hypernetwork that predicts a low-rank Riemannian metric tensor conditioned on the current model parameters. This allows for efficient, on-the-fly computation of the natural gradient, guiding updates along the path of steepest descent on the underlying statistical manifold. Our core contributions are: (1) a framework for learning task-specific, dynamic Riemannian metrics for optimization; (2) a computationally efficient implementation using low-rank approximations; and (3) theoretical analysis connecting our approach to second-order methods. Empirically, HRO demonstrates significantly faster convergence and achieves superior final performance compared to AdamW and other state-of-the-art optimizers on large-scale Transformer language models and vision transformers on ImageNet. Our work opens a new direction in optimization by treating the geometry of the loss landscape as a learnable component of the training process.",ICLR,deep learning,gemini-2.5-pro,True,1005,Optimizing Learning for Robust Hyperbolic Deep Learning in Computer Vision,"Hyperbolic deep learning has become a growing research direction in computer vision for the unique properties afforded by the alternate embedding space. The negative curvature and exponentially growing distance metric provide a natural framework for capturing hierarchical relationships between datapoints and allowing for finer separability between their embeddings. However, these methods are still computationally expensive and prone to instability, especially when attempting to learn the negative curvature that best suits the task and the  data. Current Riemannian optimizers do not account for changes in the manifold which greatly harms performance and forces lower learning rates to minimize projection errors. Our paper focuses on improving stability for curvature learning by introducing an improved schema for popular learning algorithms and providing a novel normalization approach to constrain embeddings within the variable representative radius of the manifold. Additionally, we introduce a novel formulation for Riemannian AdamW, and alternative hybrid encoder techniques and foundational formulations for current convolutional hyperbolic operations, greatly reducing the computational penalty of the hyperbolic embedding space. Our approach demonstrates consistent performance improvements across direct classification, generation, and hierarchical metric learning tasks while allowing for larger hyperbolic models.",ICLR.cc/2025/Conference,4.4,False,0.8668,standard deep learning optimizers like adam operate under fixed often euclidean geometric assumption which misaligned the complex curved loss landscapes neural networks hyper riemannian optimization hro that dynamically learns the local geometry the loss surface our core contributions are for learning task specific dynamic riemannian metrics for optimization computationally efficient implementation low rank approximations and theoretical analysis connecting our second order methods empirically hro demonstrates faster convergence and achieves superior final compared adamw and other state the art optimizers large scale transformer language models and vision transformers imagenet our opens direction optimization treating the geometry the loss landscape learnable component the training process,hyperbolic deep learning has become growing direction computer vision for the unique properties afforded the alternate embedding space current riemannian optimizers not account for changes the manifold which greatly harms and forces lower learning rates minimize projection errors our focuses improving stability for curvature learning introducing improved schema for popular learning algorithms and providing normalization constrain embeddings within the variable representative radius the manifold additionally formulation for riemannian adamw and alternative hybrid encoder techniques and foundational formulations for current convolutional hyperbolic operations greatly reducing the computational penalty the hyperbolic embedding space our demonstrates consistent improvements across direct classification generation and hierarchical learning tasks while allowing for larger hyperbolic models,2025-08-26T00:48:30.450789
1,Latent Trajectory Models: Denoising in a Learned Subspace for Accelerated Generative Diffusion,"Denoising diffusion models have achieved state-of-the-art results in generative modeling but suffer from slow sampling speeds due to the necessity of performing thousands of iterative steps in a high-dimensional data space. We propose Latent Trajectory Models (LTMs), a new class of generative models that significantly accelerate sampling by performing the diffusion process in a compressed, structured latent space. An autoencoder first maps data into a low-dimensional manifold. The diffusion process then operates entirely within this space, where a novel denoising network is trained to predict not just the next step, but the entire future trajectory of the denoising process, effectively reducing the required number of sampling steps. Our key contributions are: (1) a framework for performing diffusion in a learned latent space, decoupling generative complexity from data dimensionality; (2) a trajectory-aware denoising architecture that learns the dynamics of the reverse process; and (3) a stable training objective for the joint autoencoder-diffusion system. LTMs achieve sample quality comparable to traditional diffusion models on datasets like CelebA-HQ and LSUN, while requiring 10-20x fewer sampling steps, making high-fidelity generative modeling more practical for real-world applications.",ICLR,deep learning,gemini-2.5-pro,True,11065,Decouple-Then-Merge: Towards Better Training for Diffusion Models,"Diffusion models are trained by learning a sequence of models that reverse each step of noise corruption. Typically, the model parameters are fully shared across multiple timesteps to enhance training efficiency. However, since the denoising tasks differ at each timestep, the gradients computed at different timesteps may conflict, potentially degrading the overall performance of image generation. To solve this issue, this work proposes a $\textbf{De}$couple-then-$\textbf{Me}$rge ($\textbf{DeMe}$) framework, which begins with a pretrained model and finetunes separate models tailored to specific timesteps. We introduce several improved techniques during the finetuning stage to promote effective knowledge sharing while minimizing training interference across timesteps. Finally, after finetuning, these separate models can be merged into a single model in the parameter space, ensuring efficient and practical inference. Experimental results show significant generation quality improvements upon 6 benchmarks including Stable Diffusion on COCO30K, ImageNet1K, PartiPrompts, and DDPM on LSUN Church, LSUN Bedroom, and CIFAR10. Code is included in the supplementary material and will be released on Github.",ICLR.cc/2025/Conference,4.2,nan,0.8458,the diffusion process then operates entirely within this space where denoising network trained predict not just the next step but the entire future trajectory the denoising process reducing the required number sampling steps,diffusion models are trained learning sequence models that reverse each step noise corruption however since the denoising tasks differ each timestep the gradients computed different timesteps may conflict potentially degrading the overall image generation several improved techniques during the finetuning stage promote effective knowledge sharing while minimizing training interference across timesteps experimental significant generation quality improvements upon benchmarks including stable diffusion coco30k imagenet1k partiprompts and ddpm lsun church lsun bedroom and cifar10,2025-08-26T00:48:30.450822
2,Beyond Flatness: Generalization is Governed by the Curvature-Dimension Spectrum of the Loss Landscape,"The prevailing belief that ""flat"" minima generalize well offers a useful heuristic but lacks a precise, quantitative foundation that can explain complex phenomena in deep learning. We argue that a single scalar value for flatness is insufficient. This paper introduces the Curvature-Dimension Spectrum (CDS), a new theoretical framework for understanding generalization. We posit that generalization is determined not by the average curvature, but by the entire eigenvalue distribution of the Hessian at the solution, which characterizes the ""effective dimensionality"" of the function space accessible to the model. Using tools from random matrix theory, we analyze the CDS and derive a novel PAC-Bayes generalization bound that explicitly depends on the spectral decay rate. Our contributions include: (1) the formalization of the CDS as a more descriptive alternative to sharpness; (2) a new generalization bound that leverages this spectral information; and (3) extensive empirical validation. We show that the CDS accurately predicts test error across various architectures, optimizers, and regularization schemes, successfully explaining cases where sharpness-based measures fail. This work provides a more nuanced and powerful lens for analyzing the mechanisms of generalization in deep neural networks.",ICLR,deep learning,gemini-2.5-pro,True,189,Leveraging Flatness to Improve Information-Theoretic Generalization Bounds for SGD,"Information-theoretic (IT) generalization bounds have been used to study the generalization of learning algorithms. These bounds are intrinsically data- and algorithm-dependent so that one can exploit the properties of data and algorithm to derive tighter bounds. However, we observe that although the flatness bias is crucial for SGD’s generalization, these bounds fail to capture the improved generalization under better flatness and are also numerically loose. This is caused by the inadequate leverage of SGD's flatness bias in existing IT bounds. This paper derives a more flatness-leveraging IT bound for the flatness-favoring SGD. The bound indicates the learned models generalize better if the large-variance directions of the final weight covariance have small local curvatures in the loss landscape. Experiments on deep neural networks show our bound not only correctly reflects the better generalization when flatness is improved, but is also numerically much tighter. This is achieved by a flexible technique called ""omniscient trajectory"". When applied to Gradient Descent’s minimax excess risk on convex-Lipschitz-Bounded problems, it improves representative IT bounds’ $\Omega(1)$ rates to $O(1/\sqrt{n})$. It also implies a by-pass of memorization-generalization trade-offs. Codes are available at [https://github.com/peng-ze/omniscient-bounds](https://github.com/peng-ze/omniscient-bounds).",ICLR.cc/2025/Conference,7.0,True,0.8262,the prevailing belief that flat minima generalize well offers useful heuristic but lacks precise quantitative foundation that can explain complex phenomena deep learning this provides more nuanced and powerful lens for analyzing the mechanisms generalization deep neural networks,information theoretic generalization bounds have been used the generalization learning algorithms experiments deep neural networks our bound not only correctly reflects the better generalization when flatness improved but also numerically much tighter,2025-08-26T00:48:30.450843
3,Causal Policy Regularization for Robust Offline Reinforcement Learning,"A primary challenge in offline reinforcement learning (RL) is mitigating distributional shift, where the learned policy deviates from the behavior distribution of the static dataset, leading to catastrophic out-of-distribution value estimates. Existing methods employ uncertainty-based or policy-constraint regularization, which can be overly conservative and fail to distinguish spurious correlations from causal relationships. We introduce Causal Policy Regularization (CPR), a novel approach that frames offline RL as a causal inference problem. By modeling the underlying structural causal model of the environment, CPR penalizes policies for relying on non-causal, spurious features in the state space while allowing for safe generalization along causally-valid action pathways. This is achieved by learning a disentangled representation that isolates causally salient factors and regularizing the policy's sensitivity to spurious ones. Our contributions are: (1) a new causal framework for offline RL; (2) the CPR algorithm, which promotes learning policies that are robust to confounders; and (3) empirical results on the D4RL benchmark demonstrating that CPR significantly outperforms state-of-the-art methods, particularly in environments with strong spurious correlations, leading to more robust and generalizable policies.",ICLR,deep learning,gemini-2.5-pro,True,1861,RTDiff: Reverse Trajectory Synthesis via Diffusion for Offline Reinforcement Learning,"In offline reinforcement learning (RL), managing the distribution shift between the learned policy and the static offline dataset is a persistent challenge that can result in overestimated values and suboptimal policies. Traditional offline RL methods address this by introducing conservative biases that limit exploration to well-understood regions, but they often overly restrict the agent's generalization capabilities. Recent work has sought to generate trajectories using generative models to augment the offline dataset, yet these methods still struggle with overestimating synthesized data, especially when out-of-distribution samples are produced. To overcome this issue, we propose RTDiff, a novel diffusion-based data augmentation technique that synthesizes trajectories *in reverse*, moving from unknown to known states. Such reverse generation naturally mitigates the risk of overestimation by ensuring that the agent avoids planning through unknown states. Additionally, reverse trajectory synthesis allows us to generate longer, more informative trajectories that take full advantage of diffusion models' generative strengths while ensuring reliability. We further enhance RTDiff by introducing flexible trajectory length control and improving the efficiency of the generation process through noise management. Our empirical results show that RTDiff significantly improves the performance of several state-of-the-art offline RL algorithms across diverse environments, achieving consistent and superior results by effectively overcoming distribution shift.",ICLR.cc/2025/Conference,5.75,True,0.8650,primary challenge offline reinforcement learning mitigating distributional shift where the learned policy deviates from the behavior distribution the static leading catastrophic out distribution value estimates this achieved learning disentangled representation that isolates causally salient factors and regularizing the policy sensitivity spurious ones our contributions are causal for offline the cpr which promotes learning policies that are robust confounders and empirical the d4rl demonstrating that cpr outperforms state the art methods environments strong spurious correlations leading more robust and generalizable policies,offline reinforcement learning managing the distribution shift between the learned policy and the static offline persistent challenge that can overestimated values and suboptimal policies such reverse generation naturally mitigates the risk overestimation ensuring that the agent avoids planning unknown states further enhance rtdiff introducing flexible trajectory length control and improving the efficiency the generation process noise management,2025-08-26T00:48:30.450853
4,Dynamic Sparse Training with Synaptic Scaffolding,"Dynamic sparse training (DST) methods aim to train sparse neural networks from scratch, reducing computational costs. However, existing methods often suffer from ""representational collapse,"" where pruned neurons lose their ability to reintegrate into the network, and from unstable sparsity structures during training. We introduce Synaptic Scaffolding, a novel DST technique that addresses these issues. Synaptic Scaffolding maintains a ""scaffold"" of recently pruned connections in a dormant state. These connections retain a memory of their former weight values and can be rapidly re-activated if their reintroduction is predicted to significantly reduce the training loss, guided by a low-cost proxy gradient estimator. This allows the network to fluidly explore different sparsity masks without losing valuable learned information. Our contributions are: (1) the Synaptic Scaffolding algorithm for stable and effective DST; (2) a mechanism for preserving and efficiently re-activating pruned weights; and (3) a principled criterion for topological adaptation. We demonstrate that our method achieves state-of-the-art performance, enabling training of networks at extreme sparsity levels (e.g., 98%) from initialization, while matching or exceeding the accuracy of dense counterparts on ImageNet and BERT pre-training tasks.",ICLR,deep learning,gemini-2.5-pro,True,1993,Dynamic Sparse Training versus Dense Training: The Unexpected Winner in Image Corruption Robustness,"It is generally perceived that Dynamic Sparse Training opens the door to a new era of scalability and efficiency for artificial neural networks at, perhaps, some costs in accuracy performance for the classification task. At the same time, Dense Training is widely accepted as being the ""de facto"" approach to train artificial neural networks if one would like to maximize their robustness against image corruption. In this paper, we question this general practice. Consequently, \textit{we claim that}, contrary to what is commonly thought, the Dynamic Sparse Training methods can consistently outperform Dense Training in terms of robustness accuracy, particularly if the efficiency aspect is not considered as a main objective (i.e., sparsity levels between 10\% and up to 50\%), without adding (or even reducing) resource cost. We validate our claim on two types of data, images and videos, using several traditional and modern deep learning architectures for computer vision and three widely studied Dynamic Sparse Training algorithms. Our findings reveal a new yet-unknown benefit of Dynamic Sparse Training and open new possibilities in improving deep learning robustness beyond the current state of the art.",ICLR.cc/2025/Conference,5.75,True,0.8148,dynamic sparse training dst methods aim train sparse neural networks from scratch reducing computational costs this allows the network fluidly different sparsity masks losing valuable learned information our contributions are the synaptic scaffolding for stable and effective dst mechanism for preserving and activating pruned weights and principled criterion for topological adaptation,perceived that dynamic sparse training opens the door era scalability and efficiency for artificial neural networks perhaps some costs for the classification task the same time dense training accepted being the facto train artificial neural networks one would like maximize their robustness against image corruption consequently textit claim that contrary what thought the dynamic sparse training methods can consistently outperform dense training terms robustness the efficiency aspect not considered main objective our claim two types data images and videos several traditional and modern deep learning architectures for computer vision and three studied dynamic sparse training algorithms our reveal yet unknown benefit dynamic sparse training and open possibilities improving deep learning robustness beyond the current state the art,2025-08-26T00:48:30.450860
5,Composable Inductive Biases: Learning to Select and Fuse GNN Architectures,"The design of Graph Neural Network (GNN) architectures involves choosing specific message-passing, aggregation, and update functions, each encoding a different inductive bias (e.g., homophily, heterophily, structural equivalence). This ""no free lunch"" problem means no single GNN architecture is optimal for all graph structures and tasks. We propose Composable Inductive Biases (CIB), a meta-learning framework that learns to dynamically select and fuse different GNN architectures at a per-node level. CIB features a modular base library of diverse GNN layers (e.g., GCN, GAT, GraphSAGE) and a hyper-network that learns to predict a soft combination weighting over these modules for each node, based on its local neighborhood topology and features. This allows the model to apply GCN-like smoothing in homophilous regions while using GAT-like attention in complex, noisy regions of the same graph. Our contributions are: (1) a framework for learning node-adaptive GNN architectures; (2) a scalable hyper-network for predicting architectural compositions; and (3) state-of-the-art results on a suite of challenging graph datasets with heterogeneous structures, demonstrating superior adaptability compared to any single fixed GNN architecture.",ICLR,deep learning,gemini-2.5-pro,True,9000,Graph Neural Network Is A Mean Field Game,"In current graph neural networks (GNNs), it is a common practice to apply a pre-defined message passing heuristics to all graph data, even though the stereotypical relational inductive bias (e.g., graph heat diffusion) might not fit the unseen graph topology. Such gross simplification might be responsible for the lack of an in-depth understanding of graph learning principles, which challenges us to push the boundary from crafting application-specific GNNs to embracing a ""meta-learning"" paradigm. In this work, we ratchet the gear of GNN another notch forward by formulating GNN as a *mean field game*, that is, the best learning outcome occurs at the *Nash*-equilibrium when the learned graph inference rationale allows each graph node to find what is the best feature representations for not only the individual node but also the entire graph. Following this spirit, we formulate the search for novel GNN mechanism into a variational framework of *mean-field control* (MFC) problem, where the optimal relational inductive bias is essentially the critical point of mean-field information dynamics. Specifically, we seek for the best characteristic MFC functions of transportation mobility (controlling information exchange throughout the graph) and reaction mobility (controlling feature representation learning on each node), on the fly, that uncover the most suitable learning mechanism for a GNN instance by solving an MFC variational problem through the lens of *Hamiltonian flows* (formed in partial differential equations). In this context, our variational framework brings together existing GNN models into various mean-field games with distinct equilibrium states, each characterized by a unique MFC functional. Furthermore, we present an agnostic end-to-end deep model, coined *Nash-GNN* (in honor of Nobel laureate Dr. John Nash), to jointly carve the nature of the inductive bias and fine-tune the GNN hyper-parameters on top of the elucidated learning mechanism. *Nash-GNN* has achieved SOTA performance on diverse graph data including popular benchmark datasets and human connectomes. More importantly, the mathematical insight of mean-field games provides a new window to understand the foundational principles of graph learning as an interactive dynamical system, which allows us to reshape the idea of designing next-generation GNN models.",ICLR.cc/2025/Conference,5.333333333333333,nan,0.8680,the graph neural network gnn architectures involves choosing specific message passing aggregation and update functions each encoding different inductive bias this allows the apply gcn like smoothing homophilous regions while gat like attention complex noisy regions the same graph our contributions are for learning node adaptive gnn architectures scalable hyper network for predicting architectural compositions and state the art suite challenging graph datasets heterogeneous structures demonstrating superior adaptability compared any single fixed gnn,current graph neural networks gnns common practice apply pre defined message passing heuristics all graph data even though the stereotypical relational inductive bias such gross simplification might responsible for the lack depth understanding graph learning principles which challenges push the boundary from crafting application specific gnns embracing meta learning paradigm this ratchet the gear gnn another notch forward formulating gnn mean field game that the best learning outcome occurs the nash equilibrium when the learned graph inference rationale allows each graph node find what the best feature representations for not only the individual node but also the entire graph seek for the best characteristic mfc functions transportation mobility controlling information exchange throughout the graph and reaction mobility controlling feature representation learning each node the fly that uncover the most suitable learning mechanism for gnn instance solving mfc variational problem the lens hamiltonian flows formed partial differential equations furthermore agnostic end end deep coined nash gnn honor nobel laureate john nash jointly carve the nature the inductive bias and fine tune the gnn hyper parameters top the elucidated learning mechanism more importantly the mathematical insight mean field games provides window understand the foundational principles graph learning interactive dynamical which allows reshape the idea designing next generation gnn models,2025-08-26T00:48:30.450869
6,Continual Pre-training: A Framework for Language Models that Never Stop Learning,"Large language models (LLMs) are typically pre-trained on a massive, static dataset and then fine-tuned. This paradigm struggles with new information and evolving language, leading to knowledge cutoffs and model staleness. We propose Continual Pre-training (CPT), a framework that enables language models to efficiently and perpetually learn from a continuous stream of new data without catastrophic forgetting. CPT combines a dynamic memory architecture with an elasticity-based regularization scheme. New information is first encoded into a rapidly-updated, non-parametric memory, while an EWC-inspired (Elastic Weight Consolidation) regularizer selectively consolidates core knowledge into the parametric weights of the transformer, preserving foundational language capabilities. We introduce a ""knowledge novelty detector"" to gate what information triggers a consolidation update. Our contributions are: (1) a scalable framework for continual pre-training of LLMs; (2) a hybrid parametric-non-parametric memory system; and (3) a novelty-gated consolidation strategy. We demonstrate that a CPT-trained model can continuously assimilate new information from daily news streams over months, consistently outperforming statically pre-trained models on time-sensitive question-answering tasks while maintaining performance on general language benchmarks.",ICLR,deep learning,gemini-2.5-pro,True,4155,TiC-LM: A Multi-Year Benchmark for Continual Pretraining of Language Models,"Large language models (LLMs) are trained on data crawled over many years from the web. We investigate how quickly LLMs become outdated as the world evolves with time and how to best update them with newer data. Specifically, we simulate a world where the latest dump of Common Crawl (CC), the most prominent public source of pre-training data, is used every month to *continually* train an LLM. We design various dynamic evaluations from the CC data, Wikipedia, StackExchange, and code documentations to measure continual learning metrics such as forgetting and forward transfer. Notably, our TiC-CC training data is more than 100 times larger compared with prior continual learning benchmarks for language modeling. We discover that recent DataComp-LM models trained on data before 2023 have already become outdated, incurring up to 45\% larger noun-perplexity on 2024 Wikipedia articles compared to pre-2023 articles. Further, we use our setup to evaluate the effectiveness of several large-scale continual learning methods and find that replaying older data is most effective for combating forgetting: for previously seen CC dumps, it can reduce the regret on held-out loss by 60\% compared to other optimizer and loss-based interventions. However, some domains evolve more quickly than others, favoring different trade-offs between mixing old and new data.",ICLR.cc/2025/Conference,6.25,False,0.9134,large language models llms are pre trained massive static and then fine tuned this paradigm struggles information and evolving language leading knowledge cutoffs and staleness continual pre training cpt that enables language models and perpetually learn from continuous stream data catastrophic forgetting information first encoded into rapidly updated non parametric memory while ewc inspired elastic weight consolidation regularizer selectively consolidates core knowledge into the parametric weights the transformer preserving foundational language capabilities that cpt trained can continuously assimilate information from daily news streams over months consistently outperforming statically pre trained models time sensitive question answering tasks while maintaining general language benchmarks,large language models llms are trained data crawled over many years from the web various dynamic evaluations from the data wikipedia stackexchange and code documentations measure continual learning metrics such forgetting and forward transfer notably our tic training data more than times larger compared prior continual learning benchmarks for language modeling further use our setup the effectiveness several large scale continual learning methods and find that replaying older data most effective for combating forgetting for previously seen dumps can reduce the regret held out loss compared other optimizer and loss based interventions,2025-08-26T00:48:30.450879
7,Flow-based State Space Models for Irregularly Sampled Time Series,"Real-world time series data, particularly from domains like healthcare and finance, are often sampled irregularly and contain missing values. Traditional models like RNNs and Transformers struggle with this irregularity, often requiring ad-hoc imputation or bucketing. We introduce Flow-based State Space Models (FSSM), a new class of deep learning models designed explicitly for irregularly sampled time series. FSSM represents the latent state dynamics as a continuous-time process governed by a neural ordinary differential equation (Neural ODE). Crucially, we model the evolution of the distribution over the latent state using a continuous normalizing flow, allowing us to precisely compute the exact likelihood of observed data points at any point in time, regardless of sampling intervals. Our contributions include: (1) a novel architecture combining Neural ODEs with continuous normalizing flows for time series; (2) a method for exact likelihood computation for irregularly sampled data; and (3) a principled approach to uncertainty quantification. FSSM achieves state-of-the-art results on challenging medical (MIMIC-III) and financial forecasting benchmarks, outperforming both discrete-time models and prior continuous-time approaches.",ICLR,deep learning,gemini-2.5-pro,True,5731,HOPE for a Robust Parameterization of Long-memory State Space Models,"State-space models (SSMs) that utilize linear, time-invariant (LTI) systems are known for their effectiveness in learning long sequences. To achieve state-of-the-art performance, an SSM often needs a specifically designed initialization, and the training of state matrices is on a logarithmic scale with a very small learning rate. To understand these choices from a unified perspective, we view SSMs through the lens of Hankel operator theory. Building upon it, we develop a new parameterization scheme, called HOPE, for LTI systems that utilizes Markov parameters within Hankel operators. Our approach helps improve the initialization and training stability, leading to a more robust parameterization. We efficiently implement these innovations by nonuniformly sampling the transfer functions of LTI systems, and they require fewer parameters compared to canonical SSMs. When benchmarked against HiPPO-initialized models such as S4 and S4D, an SSM parameterized by Hankel operators demonstrates improved performance on Long-Range Arena (LRA) tasks. Moreover, our new parameterization endows the SSM with non-decaying memory within a fixed time window, which is empirically corroborated by a sequential CIFAR-10 task with padded noise.",ICLR.cc/2025/Conference,6.6,True,0.8214,flow based state space models fssm class deep learning models designed explicitly for irregularly sampled time series fssm represents the latent state dynamics continuous time process governed neural ordinary differential equation neural ode our contributions include combining neural odes continuous normalizing flows for time series for exact likelihood computation for irregularly sampled data and principled uncertainty quantification,state space models ssms that utilize linear time invariant lti systems are known for their effectiveness learning long sequences achieve state the art ssm often needs designed initialization and the training state matrices logarithmic scale very small learning rate these innovations nonuniformly sampling the transfer functions lti systems and they require fewer parameters compared canonical ssms,2025-08-26T00:48:30.450891
8,Geometric Disentanglement via the Lie Group VAE,"Learning disentangled representations, where distinct latent variables correspond to independent factors of data variation, is a central goal of representation learning. Current methods often struggle to disentangle factors that correspond to geometric transformations (e.g., rotation, scaling) and rely on heuristics. We introduce the Lie Group VAE (LG-VAE), a variational autoencoder architecture that leverages the mathematical structure of Lie groups to achieve principled geometric disentanglement. The LG-VAE's latent space is structured as a direct product of a Lie group and a Euclidean space. The decoder is explicitly designed to be equivariant to the action of the learned group on the latent variables, forcing the model to map geometric transformations in the data space to algebraic operations within the learned Lie group representation. Our contributions are: (1) a novel VAE architecture with a structured Lie group latent space; (2) an equivariant decoder that enforces geometric consistency; and (3) a training objective that learns both the group structure and the disentangled representation simultaneously. We demonstrate that the LG-VAE successfully discovers and disentangles transformations like rotations and translations in 2D and 3D datasets without explicit supervision, achieving superior disentanglement scores and enabling controllable data generation.",ICLR,deep learning,gemini-2.5-pro,True,2235,Interaction Asymmetry: A General Principle for Learning Composable Abstractions,"Learning disentangled representations of concepts and re-composing them in unseen ways is crucial for generalizing to out-of-domain situations. However, the underlying properties of concepts that enable such disentanglement and compositional generalization remain poorly understood. In this work, we propose the principle of interaction asymmetry which states: ""Parts of the same concept have more complex interactions than parts of different concepts"". We formalize this via block diagonality conditions on the $(n+1)$th order derivatives of the generator mapping concepts to observed data, where different orders of ""complexity"" correspond to different $n$. Using this formalism, we prove that interaction asymmetry enables both disentanglement and compositional generalization. Our results unify recent theoretical results for learning concepts of objects, which we show are recovered as special cases with $n=0$ or $1$. We provide results for up to $n=2$, thus extending these prior works to more flexible generator functions, and conjecture that the same proof strategies generalize to larger $n$. Practically, our theory suggests that, to disentangle concepts, an autoencoder should penalize its latent capacity and the interactions between concepts during decoding. We propose an implementation of these criteria using a flexible Transformer-based VAE, with a novel regularizer on the attention weights of the decoder. On synthetic image datasets consisting of objects, we provide evidence that this model can achieve comparable object disentanglement to existing models that use more explicit object-centric priors.",ICLR.cc/2025/Conference,7.0,True,0.8597,learning disentangled representations where distinct latent variables correspond independent factors data variation central goal representation learning the decoder explicitly designed equivariant the action the learned group the latent variables forcing the map geometric transformations the data space algebraic operations within the learned lie group representation our contributions are vae structured lie group latent space equivariant decoder that enforces geometric consistency and training objective that learns both the group structure and the disentangled representation simultaneously that the vae discovers and disentangles transformations like rotations and translations and datasets explicit supervision achieving superior disentanglement scores and enabling controllable data generation,learning disentangled representations concepts and composing them unseen ways crucial for generalizing out domain situations our unify recent theoretical for learning concepts objects which are recovered special cases implementation these criteria flexible transformer based vae regularizer the attention weights the decoder,2025-08-26T00:48:30.450900
9,Test-Time Training with Self-Supervised Consistency for Domain Adaptation,"Domain shift, the discrepancy between training and testing data distributions, poses a significant challenge for deploying machine learning models. Test-time adaptation methods aim to update a source-trained model using only unlabeled test data. We propose Test-Time Training with Self-Supervised Consistency (T3SC), a novel approach that adapts models by enforcing geometric and semantic consistency in their representation space. During testing, for each incoming batch, T3SC generates augmented views of the data and enforces a self-supervised consistency loss, compelling the model to produce invariant representations for semantically identical inputs under different perturbations. Unlike methods that rely on entropy minimization, which can reinforce incorrect predictions, our consistency-based objective is more robust to noisy pseudo-labels. Our contributions are: (1) a new test-time adaptation objective based on self-supervised consistency; (2) a framework that requires no modification to the original training pipeline; and (3) a lightweight adaptation procedure with minimal computational overhead. T3SC achieves state-of-the-art results on standard domain adaptation benchmarks like ImageNet-C and VisDA-C, significantly improving model robustness to real-world corruptions and shifts.",ICLR,deep learning,gemini-2.5-pro,True,483,Binary-Feedback Active Test-Time Adaptation,"Deep learning models perform poorly when domain shifts exist between training and test data. Test-time adaptation (TTA) is a paradigm to mitigate this issue by adapting pre-trained models using only unlabeled test samples. However, existing TTA methods can fail under severe domain shifts, while recent active TTA approaches requiring full-class labels are impractical due to high labeling costs. To
address this issue, we introduce a Binary-feedback Active Test-Time Adaptation (BATTA) setting, which uses a few binary feedbacks from annotators to indicate whether model predictions are correct, thereby significantly reducing the labeling burden of annotators. Under the setting, we propose BATTA-RL, a novel dual-path optimization framework that leverages reinforcement learning to balance binary feedback-guided adaptation on uncertain samples with agreement-based self-adaptation on confident predictions. Experiments show BATTA-RL achieves substantial accuracy improvements over state-of-the-art baselines, demonstrating its effectiveness in handling severe distribution shifts with minimal labeling effort.",ICLR.cc/2025/Conference,6.0,False,0.8501,domain shift the discrepancy between training and testing data distributions poses significant challenge for deploying machine learning models test time adaptation methods aim update source trained only unlabeled data test time training self supervised consistency t3sc that adapts models enforcing geometric and semantic consistency their representation space our contributions are test time adaptation objective self supervised consistency that requires modification the original training pipeline and lightweight adaptation procedure minimal computational overhead t3sc achieves state the art standard domain adaptation benchmarks like imagenet and visda improving robustness real world corruptions and shifts,deep learning models perform poorly when domain shifts exist between training and data test time adaptation tta paradigm mitigate this issue adapting pre trained models only unlabeled samples however existing tta methods can fail under severe domain shifts while recent active tta approaches requiring full class labels are impractical due high labeling costs address this issue binary feedback active test time adaptation batta setting which uses few binary feedbacks from annotators indicate whether predictions are correct thereby reducing the labeling burden annotators under the setting batta dual path optimization that leverages reinforcement learning balance binary feedback guided adaptation uncertain samples agreement based self adaptation confident predictions,2025-08-26T00:48:30.450905
