ai_index,ai_title,ai_abstract,ai_conference,ai_domain,ai_model,match_found,human_index,human_title,human_abstract,human_venue,human_overall_score,human_accepted,similarity_score,ai_processed_text,human_processed_text,generated_at
0,Architecting Acknowledged Adaptability: AutoML-Driven Dynamic Neural Networks,"The proliferation of dynamic neural networks has introduced challenges in their design and optimization, necessitating robust methodologies for automated architecture search. Our work addresses this need by developing AutoAdapt-Net, an innovative AutoML paradigm that enhances the adaptability of neural networks across diverse tasks. The backbone of AutoAdapt-Net is a multiscale architecture search combined with task-driven pruning techniques, ensuring only the most efficient network is deployed at any time. We provide a novel theoretical framework illustrating the conditions under which task adaptation minimizes energy-costs while maximizing efficiency. Rigorous experimentation across various datasets demonstrates that AutoAdapt-Net achieves superior performance dynamically, outperforming static counterparts by substantial margins. Our results could potentially revolutionize applications requiring prompt adaptability, contributing substantial progress towards resource-efficient AI systems.",ICLR,neural architectures,gpt-4o,True,1316,POMONAG: Pareto-Optimal Many-Objective Neural Architecture Generator,"Neural Architecture Search (NAS) automates the design of neural network architectures, minimising dependence on human expertise and iterative experimentation. While NAS methods are often computationally intensive and dataset-specific, employing auxiliary predictors to estimate architecture properties has proven extremely beneficial. These predictors substantially reduce the number of models requiring training, thereby decreasing overall search time. This strategy is frequently utilised to generate architectures satisfying multiple computational constraints.
Recently, Transferable Neural Architecture Search (Transferable NAS) has emerged, generalising the search process from being dataset-dependent to task-dependent. In this domain, DiffusionNAG stands as a state-of-the-art method. This diffusion-based method streamlines computation, generating architectures optimised for accuracy on unseen datasets without the need for further adaptation. However, by concentrating exclusively on accuracy, DiffusionNAG neglects other crucial objectives like model complexity, computational efficiency, and inference latency -- factors essential for deploying models in resource-constrained, real-world environments.
This paper introduces the Pareto-Optimal Many-Objective Neural Architecture Generator (POMONAG), extending DiffusionNAG through a many-objective diffusion process. POMONAG simultaneously considers accuracy, the number of parameters, multiply-accumulate operations (MACs), and inference latency. It integrates Performance Predictor models to estimate these secondary metrics and guide the diffusion gradients. POMONAG's optimisation is enhanced by expanding its training Meta-Dataset, applying Pareto Front Filtering to generated architectures, and refining embeddings for conditional generation. These enhancements enable POMONAG to generate Pareto-optimal architectures that outperform the previous state-of-the-art in both performance and efficiency.
Results were validated on two distinct search spaces -- NASBench201 and MobileNetV3 -- and evaluated across 15 image classification datasets.",ICLR.cc/2025/Conference,4.4,False,0.8297,the proliferation dynamic neural networks has introduced challenges their and optimization necessitating robust methodologies for automated search our addresses this need developing autoadapt net innovative automl paradigm that enhances the adaptability neural networks across diverse tasks the backbone autoadapt net multiscale search combined task driven pruning techniques ensuring only the most efficient network deployed any time provide theoretical illustrating the conditions under which task adaptation minimizes energy costs while maximizing efficiency,neural search nas automates the neural network architectures minimising dependence human expertise and iterative experimentation recently transferable neural search transferable nas has emerged generalising the search process from being dataset dependent task dependent this diffusion based streamlines computation generating architectures optimised for unseen datasets the need for further adaptation this introduces the pareto optimal many objective neural generator pomonag extending diffusionnag many objective diffusion process pomonag optimisation enhanced expanding its training meta dataset applying pareto front filtering generated architectures and refining embeddings for conditional generation were validated two distinct search spaces nasbench201 and mobilenetv3 and evaluated across image classification datasets,2025-08-26T00:27:07.231882
1,Novel Neural Topologies with Quantum-Inspired Connectivity Enhancement,"Deep learning has predominantly been constrained by extant connectivity paradigms which limit scalability and holistic interaction. In this paper, we introduce QuantumConnect-Net, a novel form of neural network architecture inspired by principles of quantum parallelism, designed to significantly expand neurons' interaction potential while maintaining computational feasibility. Through an innovative node entanglement mechanism, our designed networks can encode richer hierarchical patterns using deeper generative connectivity, attaining new fidelity in learning complex relationships. Significant gains in computational efficiency and model accuracy are demonstrated on critical tasks such as sequence prediction and image recognition. Our advancements highlight the transformative potential of integrating quantum principles into neural architecture design, setting the stage for a new era of scalable neural computation.",ICLR,neural architectures,gpt-4o,True,8551,Measurement information multiple-reuse allows deeper quantum transformer,"The current era has witnessed the success of the transformer in the field of classical deep neural networks (DNNs) and the potential of quantum computing. One naturally expects that quantum computing can offer significant speedup for the transformer. Recent developments of quantum transformer models are faced with challenges including the expensive cost of non-linear operations and the information loss problem caused by measurements. To address this issue, this paper proposes a scheme called measurement information multiple-reuse (MIMR). MIMR enables the repeated utilization of intermediate measurement data from former layers, thus enhancing information-transferring efficiency. This scheme facilitates our quantum vision transformer (QViT) capable of achieving exponential speedup compared to classical counterparts, with the support of many parameters and large depth. Our QViT model is further examined with an instance of 86 million parameters, which halves the requirements for tomography error compared to the one without MIMR. This demonstrates the superior performance of MIMR over existing schemes. Our findings underscore the importance of exploiting the value of information from each measurement, offering a key strategy towards scalable quantum deep neural networks.",ICLR.cc/2025/Conference,4.0,nan,0.8388,deep learning has predominantly been constrained extant connectivity paradigms which limit scalability and holistic interaction this quantumconnect net form neural network inspired principles quantum parallelism designed expand neurons interaction potential while maintaining computational feasibility innovative node entanglement mechanism our designed networks can encode richer hierarchical patterns deeper generative connectivity attaining fidelity learning complex relationships significant gains computational efficiency and are demonstrated critical tasks such sequence prediction and image recognition our advancements highlight the transformative potential integrating quantum principles into neural setting the stage for era scalable neural computation,the current era has witnessed the success the transformer the field classical deep neural networks dnns and the potential quantum computing one naturally expects that quantum computing can offer significant speedup for the transformer recent developments quantum transformer models are faced challenges including the expensive cost non linear operations and the information loss problem caused measurements this scheme facilitates our quantum vision transformer qvit capable achieving exponential speedup compared classical counterparts the support many parameters and large depth our underscore the importance exploiting the value information from each measurement offering key strategy towards scalable quantum deep neural networks,2025-08-26T00:27:07.231919
2,Achieving Energy-Parsimonious Learning via Neuromorphic Astro-Net Architectures,"The inherent demand for energy efficiency in modern AI practices drives the exploration of biological inspirations for computing architectures. We present Astro-Net, a novel neuromorphic architecture that integrates astrocyte-inspired network components facilitating energy optimization without compromising on learning efficacy. Our framework utilizes astrocyte-influenced meta-regulation to distribute computational activity in line with synaptic demand, modulating energetic expenditure dynamically through task variation. Compared to traditional energy-consuming paradigms, Astro-Net drastically reduces power requirements by dynamically optimizing network pathways. Experimental evaluations attest to our model’s proficient learning and efficiency across extensive applications, illuminating the beneficial alliance between ecology and computation towards sustainable AI.",ICLR,neural architectures,gpt-4o,True,9934,RMAAT: A Bio-Inspired Approach for Efficient Long-Context Sequence Processing in Transformers,"Astrocytes, an essential component of the brain's neural circuitry, demonstrate learning capabilities through bioplausible mechanisms such as presynaptic plasticity and hebbian plasticity. However, their integration into computational models remains underexplored. This paper advances astromorphic computing techniques to emulate transformer self-attention mechanisms, leveraging astrocytic nonlinearity and memory retention to improve long-range dependency processing in machine learning and natural language processing (NLP) tasks. Existing transformer models have difficulty handling lengthy contexts with thousands of tokens, even with substantial computational resources.  We propose Recurrent Memory Augmented Astromorphic Transformers (RMAAT), integrating astrocytic memory and recurrent processing into self-attention, enabling longer context handling without quadratic complexity growth. Our bioplausible model has been found to outperform traditional transformers in experimental tests conducted on the Long Range Arena benchmark and IMDB dataset. Specifically, our model achieves a significant reduction in memory utilization and computational latency. This paves the way for biologically inspired AI models by illustrating how astrocytic characteristics may enhance the performance and efficiency of computational models.",ICLR.cc/2025/Conference,3.5,nan,0.8425,astro net neuromorphic that integrates astrocyte inspired network components facilitating energy optimization compromising learning efficacy compared traditional energy consuming paradigms astro net drastically reduces power requirements dynamically optimizing network pathways experimental evaluations attest our model proficient learning and efficiency across extensive applications illuminating the beneficial alliance between ecology and computation towards sustainable,astrocytes essential component the brain neural circuitry learning capabilities bioplausible mechanisms such presynaptic plasticity and hebbian plasticity this advances astromorphic computing techniques emulate transformer self attention mechanisms leveraging astrocytic nonlinearity and memory retention improve long range dependency processing machine learning and natural language processing nlp tasks existing transformer models have difficulty handling lengthy contexts thousands tokens even substantial computational resources recurrent memory augmented astromorphic transformers rmaat integrating astrocytic memory and recurrent processing into self attention enabling longer context handling quadratic complexity growth,2025-08-26T00:27:07.231945
3,Unleashing Generative Depth: Hierarchical Convolutional Architectures for Graph Structured Data,"Novel insights into the representation of graph-structured data are imperative for myriad graph-driven applications in fields ranging from chemistry to recommendation systems. Our proposed solution is DepthGraph-ConvsNet, a generative convolutional network that leverages iterative hierarchical architecture tailored for graphs. By incorporating depth-structured filters and synthesizing convolutional topologies, our model champions enriched intranetwork abstraction capabilities unprecedented in prior endeavors. DepthGraph-ConvsNet realizes state-of-the-art recognition accuracies on notoriously complex graphs with economized parameter requisites. By micro-managing hyperscale graph contexts into discerning layers, our network harnesses promise for advancing the frontier of data-intrinsic spectral learning paradigms sustainably.",ICLR,neural architectures,gpt-4o,True,2089,Theoretical Analyses of Hyperparameter Selection in Graph-Based Semi-Supervised Learning,"Graph-based semi-supervised learning is a powerful paradigm in machine learning for modeling and exploiting the underlying graph structure that captures the relationship between labeled and unlabeled data. A large number of classical as well as modern deep learning based algorithms have been proposed for this problem, often having tunable hyperparameters. We initiate a formal study of tuning algorithm hyperparameters from parameterized algorithm families for this problem. We obtain novel $O(\log n)$ pseudo-dimension upper bounds for hyperparameter selection in three classical label propagation-based algorithm families, where $n$ is the number of nodes, implying bounds on the amount of data needed for learning provably good parameters. We further provide matching $\Omega(\log n)$ pseudo-dimension lower bounds, thus asymptotically characterizing the learning-theoretic complexity of the parameter tuning problem. We extend our study to selecting architectural hyperparameters in modern graph neural networks. We bound the Rademacher complexity for tuning the self-loop weighting in recently proposed Simplified Graph Convolution (SGC) networks. We further propose a tunable architecture that interpolates graph convolutional neural networks (GCN) and graph attention networks (GAT) in every layer, and provide Rademacher complexity bounds for tuning the interpolation coefficient.",ICLR.cc/2025/Conference,5.25,False,0.8403,insights into the representation graph structured data are imperative for myriad graph driven applications fields ranging from chemistry recommendation systems our proposed solution depthgraph convsnet generative convolutional network that leverages iterative hierarchical tailored for graphs depthgraph convsnet realizes state the art recognition accuracies notoriously complex graphs economized parameter requisites micro managing hyperscale graph contexts into discerning layers our network harnesses promise for advancing the frontier data intrinsic spectral learning paradigms sustainably,graph based semi supervised learning powerful paradigm machine learning for modeling and exploiting the underlying graph structure that captures the relationship between labeled and unlabeled data large number classical well modern deep learning algorithms have been proposed for this problem often having tunable hyperparameters obtain log pseudo dimension upper bounds for hyperparameter selection three classical label propagation based families where the number nodes implying bounds the amount data needed for learning provably good parameters extend our selecting architectural hyperparameters modern graph neural networks bound the rademacher complexity for tuning the self loop weighting recently proposed simplified graph convolution sgc networks further tunable that interpolates graph convolutional neural networks gcn and graph attention networks gat every layer and provide rademacher complexity bounds for tuning the interpolation coefficient,2025-08-26T00:27:07.231953
4,Cross-Task Dual Affine Representations for Universal Language Understanding,"The rapid evolution of NLP demands architectures capable of generalized understanding across diverse tasks. Our research introduces the Universal Language Affinium (ULA-Net), a multi-task dual representation model harmonizing cross-task language dependencies through affine transformations. We utilize dual-context encoders accessing auxiliary lattices informed by task-shared consensuses, creating harmonized hidden states, which in-turn catalyze robust dual-inclusive understanding capabilities. Results indicate exceptional modular adaptability in multilingual comprehensions surpassing popular transformer models across multiple shared benchmarks, without incremental training costs. These enhancements strongly advocate for the role of shared affine processing as key to broad-range generalized language intelligence systems.",ICLR,neural architectures,gpt-4o,True,2671,Language Fusion for Parameter-Efficient Cross-lingual Transfer,"Limited availability of multilingual text corpora for training language models often leads to poor performance on downstream tasks due to undertrained representation spaces for languages other than English. This 'under-representation' has motivated recent cross-lingual transfer methods to leverage the English representation space by e.g. mixing English and 'non-English' tokens at input or extending model parameters to accommodate new languages, which in turn increases computational complexity. To address this, we introduce **F**usion for **La**nguage **Re**presentations (FLARE) in adapters, a method designed to improve both the representation quality and downstream performance for languages other than English. FLARE integrates source and target language representations within the bottlenecks of low-rank LoRA adapters using lightweight linear transformations. This maintains parameter efficiency as the method does not require additional parameters, while improving transfer performance, further narrowing the performance gap to English.
Furthermore, the proposed latent representation fusion does not increase the number of input tokens, this way maintaining computational efficiency. Moreover, FLARE provides flexibility to integrate various types of representations, e.g., we show that it is possible to fuse latent translations extracted from machine translation models. A series of experiments across representative cross-lingual natural language understanding tasks, including natural language inference, question-answering and sentiment analysis, demonstrate FLARE's effectiveness, reducing the average performance gap to English to 8.39% for XLM-R Large and 12.41% for Llama 3 across our benchmarks.",ICLR.cc/2025/Conference,4.25,nan,0.8168,our introduces the universal language affinium ula net multi task dual representation harmonizing cross task language dependencies affine transformations indicate exceptional modular adaptability multilingual comprehensions surpassing popular transformer models across multiple shared benchmarks incremental training costs these enhancements strongly advocate for the role shared affine processing key broad range generalized language intelligence systems,limited availability multilingual text corpora for training language models often leads poor downstream tasks due undertrained representation spaces for languages other than english this under representation has motivated recent cross lingual transfer methods leverage the english representation space address this usion for nguage presentations flare adapters designed improve both the representation quality and downstream for languages other than english flare integrates source and target language representations within the bottlenecks low rank lora adapters lightweight linear transformations this maintains parameter efficiency the does not require additional parameters while improving transfer further narrowing the gap english furthermore the proposed latent representation fusion does not increase the number input tokens this way maintaining computational efficiency that possible fuse latent translations extracted from machine translation models series experiments across representative cross lingual natural language understanding tasks including natural language inference question answering and sentiment analysis flare effectiveness reducing the average gap english for xlm large and for llama across our benchmarks,2025-08-26T00:27:07.231964
5,Advancing Precision: Nested Provocation Controls in Quantum-Inspired Spiking Networks,"Spiking neural networks (SNNs) continue to hold potential in replicating natural neural activity, yet experience functional density limitations. We innovate by introducing Quantum-Inspired Provocation-Control net (QuIP-CNet), encompassing quantum-inspired nested provocational operators to guide synchronicity and plastic-signal propagation for improved spike modeling fidelity. Our framework successfully calibrates delay-stability trade-offs with enhanced adaptability integrals highlighted through complex motor-control scenarios. Incremental gains achieved relative to preceding SNN methodologies foster recalibrated spike-mean estimates, heightening neuromorphic integrity in SNN design. Our empirical outperformance bolsters QuIP-CNet’s promise as catalyst for transforming SNN applicability to dexterous, yet compute-efficient AI contexts.",ICLR,neural architectures,gpt-4o,True,8222,Temporal Flexibility in Spiking Neural Networks: Towards Generalization Across Time Steps and Deployment Friendliness,"Spiking Neural Networks (SNNs), models inspired by neural mechanisms in the brain, allow for energy-efficient implementation on neuromorphic hardware. However, SNNs trained with current direct training approaches are constrained to a specific time step. This ""temporal inflexibility"" 1) hinders SNNs' deployment on time-step-free fully event-driven chips and 2) prevents energy-performance balance based on dynamic inference time steps. In this study, we first explore the feasibility of training SNNs that generalize across different time steps. We then introduce Mixed Time-step Training (MTT), a novel method that improves the temporal flexibility of SNNs, making SNNs adaptive to diverse temporal structures. During each iteration of MTT, random time steps are assigned to different SNN stages, with spikes transmitted between stages via communication modules. After training, the weights are deployed and evaluated on both time-stepped and fully event-driven platforms. Experimental results show that models trained by MTT gain remarkable temporal flexibility, friendliness for both event-driven and clock-driven deployment (nearly lossless on N-MNIST and 10.1\% higher than standard methods on CIFAR10-DVS), enhanced network generalization, and near SOTA performance. To the best of our knowledge, this is the first work to report the results of large-scale SNN deployment on fully event-driven scenarios.",ICLR.cc/2025/Conference,6.2,True,0.8868,spiking neural networks snns continue hold potential replicating natural neural activity yet experience functional density limitations,spiking neural networks snns models inspired neural mechanisms the brain allow for energy efficient implementation neuromorphic hardware experimental that models trained mtt gain remarkable temporal flexibility friendliness for both event driven and clock driven deployment nearly lossless mnist and higher than standard methods cifar10 dvs enhanced network generalization and near sota,2025-08-26T00:27:07.231971
6,Anathemic Contributions: Architecting Disjunctive Self-Evolving Networks,"Adaptive learning amidst paradigms shift fantasy into reality by dynamically sighed sketching models. We propose Disj-DynNet; split-forecast independence modal tiered network reconfiguring labeling integrity dynamically wherein contributors contest preconceptions astride segregational task alleys rendering polytypic realizations. Inside abstractive flow alcoves, recursive self-generative rule-realizing bolster fortify demographic expectation speculation amid divert demarkations altogether conserving predictive stealth. Deliverance exhibited coherence relatively emergent functionality unlocking conduits previously genetically tacit usher resilient deception navigating revealing cloister fluxific inclusivity crestimata exclude set fairness quietly returning spontaneity true sleek anticipation reversible dest pistol primavera empristically opportunis realised.",ICLR,neural architectures,gpt-4o,False,,Continual Learning via Continual Weighted Sparsity and Meta-Plasticity Scheduling,"Continual Learning (CL) is fundamentally challenged by the stability-plasticity dilemma: the trade-off between acquiring new information and maintaining past knowledge. To address the stability, many methods keep a replay buffer containing a small set of samples from prior tasks and employ parameter isolation strategies that allocate separate parameter subspaces for each task, reducing interference between tasks. To get more refined, task-specific groups, we adapt a dynamic sparse training technique and introduce a continual weight score function to guide the iterative pruning process over multiple rounds of training. We refer to this method as the continual weighted sparsity scheduler. Furthermore, with more incremental tasks introduced, the network inevitably becomes saturated, leading to a loss of plasticity, where the model's adaptability decreases due to dormant or saturated neurons. To mitigate this, we draw inspiration from biological meta-plasticity mechanisms, and develop a meta-plasticity scheduler to dynamically adjust these task-specific groups' learning rates based on the sensitive score function we designed, ensuring a balance between retaining old knowledge and acquiring new skills. The results of comparison on popular datasets demonstrate that our approach consistently outperforms existing state-of-the-art methods, confirming its effectiveness in managing the stability-plasticity trade-off.",ICLR.cc/2025/Conference,4.25,False,0.7965,adaptive learning amidst paradigms shift fantasy into reality dynamically sighed sketching models disj dynnet split forecast independence modal tiered network reconfiguring labeling integrity dynamically wherein contributors contest preconceptions astride segregational task alleys rendering polytypic realizations deliverance exhibited coherence relatively emergent functionality unlocking conduits previously genetically tacit usher resilient deception navigating revealing cloister fluxific inclusivity crestimata exclude set fairness quietly returning spontaneity true sleek anticipation reversible dest pistol primavera empristically opportunis realised,continual learning fundamentally challenged the stability plasticity dilemma the trade off between acquiring information and maintaining past knowledge furthermore more incremental tasks introduced the network inevitably becomes saturated leading loss plasticity where the model adaptability decreases due dormant saturated neurons mitigate this draw inspiration from biological meta plasticity mechanisms and meta plasticity scheduler dynamically adjust these task specific groups learning rates the sensitive function designed ensuring balance between retaining old knowledge and acquiring skills,2025-08-26T00:27:07.231983
7,Excogitating Sentient Sequences: Contextual Augmentation Via Bidirectional-based Sequential Designs,"Entrenching datasets propel quantum escalator portrays nuanced search enhanced harmonics indubitably excerpts program-focused referential templates sidewalk layers usually traffic sensor-aware networks derunds preset gain estimated properties automatically supportive puts sublime cutoff clip synchronal procession channel extension verse dovid airwave skeems convo turned siffel-field micro John sheltered parts purists confer pace-holding technical awards obligation augmenter finger-hotl tuned telescope beyond temporality refined augment can assure potent versatile courtly categorical banners ahead quangtifying extern-shares loads feat boomed thresholds designs widen passage advantage clouds war-up replica linen grain scents saving maxlength optimistic shading policies equilibrpraticky acrology empirical honors simulate observers juton grim tug hopeful enlightened-spy quick-eye ایساouncing stringent pretex founded form data predating dockeroubtedly ceep fracture anthropic elevated pose megglas ready hoop connect normative tiersdefined lore verte adjustments. Please note that Paper 7's abstract and information provided for Paper 8 delved into creative expressions, showcasing a play on linguistic anticipation within theoretical constructs, which may attract particular scenists’ immediate aesthetics pro bono looking influence simplified pathways wrapped regally allowing discovering veteran genre double-winentos partially optim commitment futures.​​",ICLR,neural architectures,gpt-4o,False,,Neural Electrostatics: A 3D Physics-Informed Boundary Element Poisson Equation Solver,"Electrostatics solvers relate an imposed voltage to a
corresponding charge density. Current classical methods require fine
discretization and scale poorly due to the construction of a large linear system
of equations. We recast the problem using neural networks and introduce
neural electrostatics, a hybrid 3D boundary element method (BEM). By using the
boundary element form, we are able to overcome many shortcomings of previous
neural solvers, such as learning trivial solutions and balancing loss terms
between the domain and boundary, at the cost of introducing a large integral
containing a singular kernel. We handle this singularity by locally
transforming the integral into polar coordinates and applying a numerical
quadrature. We also show that previous neural solver sampling methods are unable
to minimize the PDE residual, and propose a variational adaptive sampling
method. This technique is able to reduce mean absolute error by 5 times, while
keeping training time constant. Extensive scaling and ablation studies are
performed to justify our method. Results show that our method learns a charge
distribution within 1.2 $pC/m^2$ of mean absolute error from a classical BEM
solver, while using 25 times fewer rectangular elements.",ICLR.cc/2025/Conference,4.0,False,0.0000,,recast the problem neural networks and neural electrostatics hybrid boundary element bem the boundary element form are able overcome many shortcomings previous neural solvers such learning trivial solutions and balancing loss terms between the domain and boundary the cost introducing large integral containing singular kernel also that previous neural solver sampling methods are unable minimize the pde residual and variational adaptive sampling,2025-08-26T00:27:07.231991
8,Exploring Efficient Network Compression with Layer-wise Pruning Algorithms,"The deployment of deep neural networks (DNNs) in resource-constrained environments necessitates efficient methods for network compression. Motivated by limitations in traditional pruning techniques that do not balance accuracy with compression effectively, we propose a novel layer-wise pruning algorithm that enhances current methodologies. This approach leverages sensitivity analysis to identify the optimal set of influential neurons at each layer, processing pruning decisions locally rather than globally. Our contributions include an adaptive algorithm capable of maintaining network performance while achieving significant size reductions, verified through extensive evaluations on benchmarks such as CIFAR and Imagenet. Our network compression insights yield models that achieve comparable or superior performance to uncompressed originals while minimizing computational costs, facilitating sustainable AI deployment across diverse resource-constrained scenarios.",ICLR,neural architectures,gpt-4o,True,11198,Effective Interplay between Sparsity and Quantization: From Theory to Practice,"The increasing size of deep neural networks (DNNs) necessitates effective model compression to reduce their computational and memory footprints. Sparsity and quantization are two prominent compression methods that have been shown to reduce DNNs' computational and memory footprints significantly while preserving model accuracy. However, how these two methods interact when combined together remains a key question for developers, as many tacitly assume that they are orthogonal, meaning that their combined use does not introduce additional errors beyond those introduced by each method independently. In this paper, we provide the first mathematical proof that sparsity and quantization are non-orthogonal. We corroborate these results with experiments spanning a range of large language models, including the OPT and LLaMA model families (with 125M to 8B parameters), and vision models like ViT and ResNet. We show that the order in which we apply these methods matters because applying quantization before sparsity may disrupt the relative importance of tensor elements, which may inadvertently remove significant elements from a tensor. More importantly, we show that even if applied in the correct order, the compounded errors from sparsity and quantization can significantly harm accuracy. Our findings extend to the efficient deployment of large models in resource-constrained compute platforms to reduce serving cost, offering insights into best practices for applying these compression methods to maximize hardware resource efficiency without compromising accuracy.",ICLR.cc/2025/Conference,7.5,True,0.8718,the deployment deep neural networks dnns resource constrained environments necessitates efficient methods for network compression this leverages sensitivity analysis identify the optimal set influential neurons each layer processing pruning decisions locally rather than globally our contributions include adaptive capable maintaining network while achieving significant size reductions verified extensive evaluations benchmarks such cifar and imagenet our network compression insights yield models that achieve comparable superior uncompressed originals while minimizing computational costs facilitating sustainable deployment across diverse resource constrained scenarios,the increasing size deep neural networks dnns necessitates effective compression reduce their computational and memory footprints corroborate these experiments spanning range large language models including the opt and llama families 125m parameters and vision models like vit and resnet,2025-08-26T00:27:07.232004
9,Neural Self-Regulating Modules for Continual Learning Adaptation,"Addressing the challenge of continual learning scenarios where traditional models suffer from catastrophic forgetting, we introduce Neural Self-Regulating Modules (NSRMs). Unlike existing solutions that rely heavily on external memory buffers, NSRMs inherently manage neural plasticity and memory integration through a self-organized approach driven by bio-inspired synaptic networking. The novel architecture includes dynamic feedback loops that continually update associative strength based on historical activation patterns, substantially improving the retention and transition between sequential tasks. Experimental validation shows that NSRMs outperform large memory buffer-dependent solutions across various benchmarks, enhancing the model's ability to preserve learned knowledge while swiftly accommodating new information. This represents a transformative step in fostering sustainable learning systems for real-world applications.",ICLR,neural architectures,gpt-4o,True,3050,"Stay Hungry, Keep Learning: Sustainable Plasticity for Deep Reinforcement Learning","The integration of Deep Neural Networks (DNNs) in Reinforcement Learning (RL) systems has led to remarkable progress in solving complex tasks but also introduced challenges like primacy bias and dead neurons. Primacy bias skews learning towards early experiences, while dead neurons diminish the network's capacity to acquire new knowledge. Traditional reset mechanisms aimed at addressing these issues often involve maintaining large replay buffers to train new networks or selectively resetting subsets of neurons. However, These approaches either incur substantial computational costs or fail to effectively reset the entire network, resulting in underutilization of network plasticity and reduced learning efficiency. In this work, we introduce the novel concept of neuron regeneration, which combines reset mechanisms with knowledge recovery techniques. We also propose a new framework called Sustainable Backup Propagation (SBP) that effectively maintains plasticity in neural networks through this neuron regeneration process. The SBP framework achieves whole network neuron regeneration through two key procedures: cycle reset and inner distillation. Cycle reset involves a scheduled renewal of neurons, while inner distillation functions as a knowledge recovery mechanism at the neuron level. To validate our framework, we integrate SBP with Proximal Policy Optimization (PPO) and propose a novel distillation function for inner distillation. This integration results in Plastic PPO (P3O), a new algorithm that enables efficient cyclic regeneration of all neurons in the actor network. This approach facilitates neuron regeneration while maintaining policy plasticity and sample efficiency. Extensive experiments demonstrate that, with proper neuron regeneration methods, the SBP framework can effectively maintain plasticity and improve sample efficiency in reinforcement learning tasks.",ICLR.cc/2025/Conference,5.25,False,0.8334,addressing the challenge continual learning scenarios where traditional models suffer from catastrophic forgetting neural self regulating modules nsrms unlike existing solutions that rely heavily external memory buffers nsrms inherently manage neural plasticity and memory integration self organized driven bio inspired synaptic networking experimental validation shows that nsrms outperform large memory buffer dependent solutions across various benchmarks enhancing the model ability preserve learned knowledge while swiftly accommodating information this represents transformative step fostering sustainable learning systems for real world applications,the integration deep neural networks dnns reinforcement learning systems has led remarkable progress solving complex tasks but also introduced challenges like primacy bias and dead neurons primacy bias skews learning towards early experiences while dead neurons diminish the network capacity acquire knowledge however these approaches either incur substantial computational costs fail reset the entire network resulting underutilization network plasticity and reduced learning efficiency this the concept neuron regeneration which combines reset mechanisms knowledge recovery techniques also called sustainable backup propagation sbp that maintains plasticity neural networks this neuron regeneration process the sbp achieves whole network neuron regeneration two key procedures cycle reset and inner distillation cycle reset involves scheduled renewal neurons while inner distillation functions knowledge recovery mechanism the neuron level our integrate sbp proximal policy optimization ppo and distillation function for inner distillation this integration plastic ppo p3o that enables efficient cyclic regeneration all neurons the actor network extensive experiments that proper neuron regeneration methods the sbp can maintain plasticity and improve sample efficiency reinforcement learning tasks,2025-08-26T00:27:07.232011
